Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department
Moon Surface (Surveyor I),Vija Celmins,(American),(1938),,(Female),1971-1972,Drawings
Letter to Hernandez,Jean Dubuffet,(French),(1901),(1985),(Male),1951,Architecture & Design
Double page plate used as second part of title page from My Pretty Pony,Barbara Kruger,(American),(1945),,(Female),1988,Prints & Illustrated Books
Untitled,Walter Silver,(American),(1923),(1998),(Male),1966,Photography
Untitled (Les Halles),Eugène Atget,(French),(1857),(1927),(Male),1898,Photography
"Bluff, Utah",Lois Conner,(American),(1951),,(Female),1992,Photography
Untitled from the series the Germans,René Burri,(Swiss),(1933),(2014),(Male),1962,Photography
Bars of Sunlight Across Bodies of Sleeping Egyptians,Ernst Haas,(American),(1921),(1986),(Male),1952,Photography
In-text plate (page 121) from PANTAGRUEL,André Derain,(French),(1880),(1954),(Male),1943,Prints & Illustrated Books
Interior Scroll-The Cave,Carolee Schneemann,(American),(1939),,(Female),1995,Media and Performance Art
Untitled,Aaron Curry,(American),(1972),,(Male),2015,Prints & Illustrated Books
"Sculptures from the portfolio Bayard: XXV Calotypes, 1842-1850",Hippolyte Bayard,(French),(1801),(1887),(Male),1842-1850,Photography
Calotypes by D.O. Hill,David Octavius Hill,(British),(1802),(1870),(Male),1843-1847,Photography
"Fontaine Maubuée, rue Saint-Martin 122",Eugène Atget,(French),(1857),(1927),(Male),1900,Photography
The Author is a Medium,Raymond Pettibon,(American),(1957),,(Male),1991,Prints & Illustrated Books
Fat Knat,Robert Hudson,(American),(1938),,(Male),1964,Painting & Sculpture
Headpiece (page I) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),(1871),(1958),(Male),1916-1932,Prints & Illustrated Books
LOVE,Robert Indiana,(American),(1928),(2018),(Male),1967,Prints & Illustrated Books
Drifts,Robert Rauschenberg,(American),(1925),(2008),(Male),1969,Prints & Illustrated Books
"PSALM 77, plate 24 (page 55) from PSAUMES DE DAVID",Marc Chagall,(French),(1887),(1985),(Male),1978-1979,Prints & Illustrated Books
Poster of the French National Railroad,Album-miscellaneous,(Various),,,(),1900-1943,Architecture & Design
Poster of the French National Railroad,Album-miscellaneous,(Various),,,(),1900-1943,Architecture & Design
Spear,Edward Krasiński,(Polish),(1925),(2004),(Male),1963-1964,Painting & Sculpture
Untitled from Conventional Dichotomy,Franz West,(Austrian),(1947),(2012),(Male),1990,Prints & Illustrated Books
Rue Norvins,Eugène Atget,(French),(1857),(1927),(Male),1922,Photography
The Garden,Paul Strand,(American),(1890),(1976),(Male),1976,Photography
Untitled,Bruce Nauman,(American),(1941),,(Male),1994,Drawings
Woman at the Tub (Femme au tub) from Elles,Henri de Toulouse-Lautrec,(French),(1864),(1901),(Male),1896,Prints & Illustrated Books
Karma Juggler,Do Ho Suh,(Korean),(1962),,(Male),2010,Prints & Illustrated Books
"I DREAM OF THE FLYING SKULL (plate, folio 12) from ELEMENTE",Jean (Hans) Arp,(French),(1886),(1966),(Male),1920-1950,Prints & Illustrated Books
Untitled drawing for Soleil vitré,Georges Bataille,(French),(1897),(1962),(Male),c. 1925,Drawings
Tampa,Lee Friedlander,(American),(1934),,(Male),1974,Photography
Tiger,Sergio Gonzalez-Tornero,(Chilean),(1927),,(Male),1967,Prints & Illustrated Books
Nasty Nets,Paul Chan,(Chinese),(1973),,(Male),2009,Drawings
"Duplicate of in-text plate from page 93 (1st supplementary suite, plate 10) from TÊTE D'OR",Roger de La Fresnaye,(French),(1885),(1925),(Male),1911-1950,Prints & Illustrated Books
The Plain Between Cannes and Mougins (La Plaine entre cannes et mougins),Jacques Villon,(French),(1875),(1963),(Male),1934,Prints & Illustrated Books
"Église Saint-Roch, chaire",Eugène Atget,(French),(1857),(1927),(Male),1912,Photography
Female Portraits,Carroll Dunham,(American),(1949),,(Male),2000,Prints & Illustrated Books
Saint-Cloud,Eugène Atget,(French),(1857),(1927),(Male),1904,Photography
Study for Slip-Covered Armchair,Robert Gober,(American),(1954),,(Male),1986,Drawings
Selbstbildnis als Wappen,Dieter Roth,(Swiss),(1930),(1998),(Male),1973,Drawings
"Rejected trial proof (2nd supplementary suite, plate 10) from NATURAL HISTORY",Walter Stein,(American),(1924),,(Male),1960,Prints & Illustrated Books
Untitled (Fragments IX),Garo Antreasian,(American),(1922),,(Male),1961,Prints & Illustrated Books
"Headpiece (page 45) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,(French),(1861),(1944),(Male),1927-1940,Prints & Illustrated Books
Frontispiece from LA MÉMOIRE ET LA MAIN,Eduardo Chillida,(Spanish),(1924),(2002),(Male),1986,Prints & Illustrated Books
One Hundred Lavish Months of Bushwhack,Wangechi Mutu,(Kenyan),(1972),,(Female),2004,Drawings
Two Years of War in England,William Vandivert,(American),(1912),(1992),(Male),1927-1943,Photography
Poster of the French National Railroad,Album-miscellaneous,(Various),,,(),1900-1943,Architecture & Design
Plate 7 (supplementary suite) from L'AVENIR DE LA PROPRIÉTÉ,Pierre Alechinsky,(Belgian),(1927),,(Male),1972,Prints & Illustrated Books
Street Fair,Brassaï (Gyula Halász),(French),(1899),(1984),(Male),1934-1935,Photography
Drawing Which Makes Itself: Milan Piece,Dorothea Rockburne,(American),(1932),,(Female),1973,Drawings
"Near Americus, Georgia",William Eggleston,(American),(1939),,(Male),1976,Photography
Sharon Moore,Jack Welpott,(American),(1923),(2007),(Male),1970,Photography
Untitled,Francis Alÿs,(Belgian),(1959),,(Male),2002,Media and Performance Art
"45°, 90°, 180°",Michael Heizer,(American),(1944),,(Male),c. 1982,Prints & Illustrated Books
Akari Floor Lamp (model 33S),Isamu Noguchi,(American),(1904),(1988),(Male),c. 1951,Architecture & Design
Plate (folio 39) from Elephant Skull,Henry Moore,(British),(1898),(1986),(Male),1970,Prints & Illustrated Books
Untitled,Kurt W. Baasch,(American),(1891),(1964),(Male),c. 1910,Photography
"Cabinet for Record Player, Records, and Radio, Two sections and elevation. Second prototype",Lilly Reich,(German),(1885),(1947),(Female),1938,Architecture & Design
Greeks,Jan Groover,(American),(1943),(2012),(Female),1984,Photography
Hôtel de Beauvais. 68 rue François Miron,Eugène Atget,(French),(1857),(1927),(Male),1924,Photography
Porte. L'église Saint-Paul,Eugène Atget,(French),(1857),(1927),(Male),1911,Photography
"THE IRON BED, plate 18 (folio 44) from PICTURE BOOK",Jean Charlot,(American),(1898),(1979),(Male),1933,Prints & Illustrated Books
Kneeling Nudes (Kniende Akte) from Brücke 1910,Erich Heckel,(German),(1883),(1970),(Male),1910,Prints & Illustrated Books
The Mexican Sketchbook,Robert Motherwell,(American),(1915),(1991),(Male),1941,Drawings
Structure Panoramas,Jan Dibbets,(Dutch),(1941),,(Male),1973,Photography
Glove from S.M.S. No. 3,Enrico Baj,(Italian),(1924),(2003),(Male),1968,Prints & Illustrated Books
PERSONNAGES,Maryan S. Maryan,(American),(1927),(1977),(Male),1962-1963,Prints & Illustrated Books
Untitled III,Richard Gross,(Canadian),(1943),,(Male),(1969),Drawings
Mrs. Frances DeForest Martin Breed with her two sisters,Charles H. Breed,(American),(1876),(1950),(Male),c. 1910,Photography
"Goussainville, saint Nicolas",Eugène Atget,(French),(1857),(1927),(Male),1921,Photography
Untitled,Mira Schendel,(Brazilian),(1919),(1988),(Female),1960s,Prints & Illustrated Books
Portrait of Jacqueline in Profile (frontispiece) from the illustrated book À Haute Flamme,Pablo Picasso,(Spanish),(1881),(1973),(Male),1955,Prints & Illustrated Books
Alberto Giacometti,René Pierre Tal-Coat,(French),(1905),(1985),(Male),(c. 1936),Drawings
Alice Through the Looking Glass,Peter Blake,(British),(1932),,(Male),(1972),Prints & Illustrated Books
MY GRANDFATHER MALOLO CONVERTED AN OLD COAL CARRYING BARGE INTO A PLEASURE SCHOONER,Antonio Mendoza,(American),(1941),,(Male),1976,Photography
"THAUMASTE (plate, page 104) from PANTAGRUEL",André Derain,(French),(1880),(1954),(Male),1943,Prints & Illustrated Books
"SECRETS BY QUICK RESONANCE (plate, folio 3) from TABU DADA or COURANTS D'AIR SUR LE CHEMIN DE MA VIE 1916-1921",Jacques Villon,(French),(1875),(1963),(Male),1916-1941,Prints & Illustrated Books
Untitled from Women are Beautiful,Garry Winogrand,(American),(1928),(1984),(Male),1970,Photography
The Faces of the Critic,Louise Bourgeois,(American),(1911),(2010),(Female),1998,Prints & Illustrated Books
The Shade Tree (L'arbre d'ombre),Jean Dubuffet,(French),(1901),(1985),(Male),1959,Prints & Illustrated Books
"Santa Fe, New Mexico",Lee Friedlander,(American),(1934),,(Male),1995,Photography
"NIGHT AT BELLAGIO, plate I (folio 13) from VOYAGE À VENISE",André Masson,(French),(1896),(1987),(Male),1951-1952,Prints & Illustrated Books
Honey on Rug,Bill Arnold,(American),(1941),,(Male),c. 1971,Photography
James Rosenquist,Theo Wujcik,(American),(1936),(2014),(Male),1975,Drawings
End of Forty-Second Street,Brett Weston,(American),(1911),(1993),(Male),1945,Photography
Headpiece (page 51) from FLORILÈGE DES AMOURS,Henri Matisse,(French),(1869),(1954),(Male),1941-1948,Prints & Illustrated Books
Drawing for Fret,Jim Nutt,(American),(1938),,(Male),1990,Drawings
"Village, Silenced",Deborah Stratman,(American),(1960),,(Female),2012,Film
American Noir from 10: Artist as Catalyst,Jerry Kearns,(American),(1943),,(Male),1992,Prints & Illustrated Books
Unknown (Eifle),Gordon Matta-Clark,(American),(1943),(1978),(Male),1970,Drawings
BÏF§ZF+18: Simultaneità e chimismi lirici,Ardegno Soffici,(Italian),(1879),(1964),(Male),1915,Prints & Illustrated Books
"Aux Vieilles Tapisseries: 44 Sentences de Louise Bourgeois, text 44 of 44",Louise Bourgeois,(American),(1911),(2010),(Female),2005,Prints & Illustrated Books
Java Jacket Cup Sleeve,Jay D. Sorensen,(American),(1958),,(Male),1993,Architecture & Design
"Stage set design for ""A Midsummer Night's Dream"" at the Heidelberg Festival",Hans Poelzig,(German),(1869),(1936),(Male),1926,Architecture & Design
"Green Carnations, New York City",Morris Engel,(American),(1918),(2005),(Male),c. 1990,Photography
In-text plate (folio 14 verso) from LA MÉTROMANIE,Jean Dubuffet,(French),(1901),(1985),(Male),1949-1950,Prints & Illustrated Books
"The Dwelling of Our Time, German Building Exhibition, Berlin, Germany, Interior-finishing-materials exhibits (Free-standing plate-glass wall. Wertheim stall. Two elevations and sections
)",Lilly Reich,(German),(1885),(1947),(Female),1931,Architecture & Design
Plate (folio 65) from AN ALPHABESTIARY,Milton Elting Hebald,(American),(1917),,(Male),1966,Prints & Illustrated Books
U.S. Rubber,Walker Evans,(American),(1903),(1975),(Male),1929,Photography
Untitled from 88 Maps,Matt Mullican,(American),(1951),,(Male),2010,Prints & Illustrated Books
"Small table, LR 530, Section and plan",Lilly Reich,(German),(1885),(1947),(Female),1931,Architecture & Design
Prevalence of Ritual/Conjur Woman No.1,Romare Bearden,(American),(1911),(1988),(Male),1964,Photography
Anatomy of my Universe,André Masson,(French),(1896),(1987),(Male),1943,Prints & Illustrated Books
Finger Box from Fluxkit,Ay-O,(Japanese),(1931),,(Male),1964,Prints & Illustrated Books
Oppression III,Luis Cruz Azaceta,(American),(1942),,(Male),1987,Prints & Illustrated Books
Ville-d'Avray,Eugène Atget,(French),(1857),(1927),(Male),1923-1925,Photography
"Proof of 6th color for Plate 3 (supplementary suite, plate 36) from FOUR TALES FROM THE ARABIAN NIGHTS",Marc Chagall,(French),(1887),(1985),(Male),1941-1948,Prints & Illustrated Books
In-text plate (page 225) from OEUVRES,Gustave Doré,(French),(1832),(1883),(Male),1854,Prints & Illustrated Books
Untitled,Gernot Bubenik,(German),(1942),,(Male),1966,Prints & Illustrated Books
QUALITY PRINTING,Sol Libsohn,(American),(1914),(2001),(Male),1955,Photography
"Design for Telefunken Record Player, Perspective and elevation",Lilly Reich,(German),(1885),(1947),(Female),1937-1939,Architecture & Design
Plate (following folio XIII) from NOTES,Claes Oldenburg,(American),(1929),,(Male),1968,Prints & Illustrated Books
Untitled,Lee Bontecou,(American),(1931),,(Female),1997,Drawings
La Monnaie,Eugène Atget,(French),(1857),(1927),(Male),1905-1906,Photography
"White Billboard, Freeport, Long Island",Kurt W. Baasch,(American),(1891),(1964),(Male),c. 1930,Photography
RCA Sound Systems,Ladislav Sutnar,(American),(1897),(1976),(Male),1944-1965,Architecture & Design
"Remodelling of Modlinger House, Wannsee, Berlin (Floor plan)",Lilly Reich,(German),(1885),(1947),(Female),1930-1931,Architecture & Design
Postal Dossier (Dossier postale),Alighiero Boetti,(Italian),(1940),(1994),(Male),1969-1970,Prints & Illustrated Books
Dream,Louise Bourgeois,(American),(1911),(2010),(Female),1939,Prints & Illustrated Books
Concentration Camp,Paul Peter Piech,(American),(1920),(1996),(Male),1949,Prints & Illustrated Books
"Kempner House, Charlottenburg, Berlin, Germany (Staircase from basement to second floor. Sections.)",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1922,Architecture & Design
Robert Doisneau,Robert Doisneau,(French),(1912),(1994),(Male),1979,Photography
The Maternal Man (for Parkett no. 82),Louise Bourgeois,(American),(1911),(2010),(Female),2008,Prints & Illustrated Books
"FILE- A Magazine is a Storehouse of Ideas, To Read, To Save. LIFE Magazine Is A Weekly Chronicle Of Man",Dennis Wheeler,(American),(1935),,(Male),1963,Architecture & Design
WHITE SANDS (PLATE 2),Brett Weston,(American),(1911),(1993),(Male),1946,Photography
Plate (folio 18) from LE LÉZARD AUX PLUMES D'OR,Joan Miró,(Spanish),(1893),(1983),(Male),1971,Prints & Illustrated Books
"U.S. Iron Clad Ram ""Dictator""",Unknown,(),,,(),1863,Photography
Winter Storage,Jack Hannah,(American),(1913),(1994),(Male),1949,Film
"Untitled, plate 6 of 7, from the portfolio, Metamorfosis",Louise Bourgeois,(American),(1911),(2010),(Female),1997,Prints & Illustrated Books
Untitled from Vanish,Sol LeWitt,(American),(1928),(2007),(Male),1994,Prints & Illustrated Books
Nude with Raised Arms (Akt mit erhobenen Armen),Emil Nolde,(German),(1867),(1956),(Male),(1908),Prints & Illustrated Books
Plate (folio 58) from LE BESTIAIRE,Roger Chastel,(French),(1897),(1981),(Male),1948,Prints & Illustrated Books
S1 from the portfolio LES LEVINE LXVI,Les Levine,(American),(1935),,(Male),1965,Prints & Illustrated Books
Encierro (Confinement),Graciela Carnevale,(Argentine),(1942),,(Female),1968,Media and Performance Art
"OCTOBER 24, 1967",Shigeru Tamura,(Japanese),(1909),(1987),(Male),1967,Photography
"Social Service Administration Building, University of Chicago, Chicago, IL, Site plan",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1962-1965,Architecture & Design
"Backyard off U.S. 98, Apalachicola, Florida, February 4, 1976",Stephen Shore,(American),(1947),,(Male),1976,Photography
Double page plate (folios 7 verso and 8) from FOUNTAINHEAD,Kiki Smith,(American),(1954),,(Female),1991,Prints & Illustrated Books
Bath from The Nude Man,Beth Van Hoesen,(American),(1926),(2010),(Female),1965,Prints & Illustrated Books
Disposal,Peter Dean,(American),(1939),(1993),(Male),1980,Drawings
"City Prison, Guatemala",Eadweard J. Muybridge,(American),(1830),(1904),(Male),1875,Photography
"Wolf House, Gubin, Poland, Second floor plan",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1925-1927,Architecture & Design
"Josef Esters House, Krefeld, Germany, Room plan with furniture placement",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),c. 1927-1930,Architecture & Design
"Les Espaces d'Abraxas: Le Palacio, Le Theatre, L'Arc, Marne-la-Vallée, France, Le Palacio: elevation",Ricardo Bofill,(Spanish),(1939),,(Male),1979,Architecture & Design
Untitled from Gloria,Alex Katz,(American),(1927),,(Male),2005,Prints & Illustrated Books
"San Antonio, Texas, Two Members of One of America's Most Oppressed Minorities--Mexicans in San Antonio, Texas--Who Do Not Lead Cheerless Lives,",Peter Sekaer,(American),(1901),(1950),(Male),1939,Photography
Under the Horse-Chestnut Tree,Mary Cassatt,(American),(1844),(1926),(Female),1896-1897,Prints & Illustrated Books
"Kyle Residence, Houston, Texas, Plan",Joel Sanders,(American),(1956),,(Male),1995,Architecture & Design
Untitled,Jan Groover,(American),(1943),(2012),(Female),2006,Photography
Folded,Robyn Denny,(British),(1930),(2014),(Male),1965,Painting & Sculpture
Fragile Decor (Léger décor) from the portfolio Textures from Phenomena (Les Phénomènes),Jean Dubuffet,(French),(1901),(1985),(Male),1959,Prints & Illustrated Books
Plate (folio 11) from BIOTHERM,Jim Dine,(American),(1935),,(Male),1989-1990,Prints & Illustrated Books
Tuileries - Coureuse par Coustou,Eugène Atget,(French),(1857),(1927),(Male),1911-1912,Photography
"Untitled (plate, page 125) from the periodical Münchner Blätter für Dichtung und Graphik, vol. 1, no. 8 (August 1919)",Rudolf Grossmann,(German),(1882),(1941),(Male),1919,Prints & Illustrated Books
In-text plate (page 339) from LA 628-E8,Pierre Bonnard,(French),(1867),(1947),(Male),1908,Prints & Illustrated Books
SAINT ROCH. BALUSTRADE BOIS DORÉ,Eugène Atget,(French),(1857),(1927),(Male),1912,Photography
Die Stunde des Menschen,Otl Aicher (also known as Otto Aicher),(German),(1922),(1991),(Male),1953,Architecture & Design
Plate (folio 17 verso) from HAIKU,Horst-Egon Kalinowski,(German),(1924),(2013),(Male),1964-1965,Prints & Illustrated Books
In-text plate (folio 9) from LES PÉLICAN,Henri Laurens,(French),(1885),(1954),(Male),1921,Prints & Illustrated Books
Plate (following errata) from LES MINUTES DE SABLE MÉMORIAL,Alfred Jarry,(French),(1873),(1907),(Male),1894,Prints & Illustrated Books
Head of a Girl (Mädchenkopf),Erich Heckel,(German),(1883),(1970),(Male),1912,Drawings
"THE POULTRY YARD (plate, page 69) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(French),(1877),(1953),(Male),1938-1940,Prints & Illustrated Books
Untitled from Campbell's Soup I,Andy Warhol,(American),(1928),(1987),(Male),1968,Prints & Illustrated Books
Follis Design letterhead (Letter to Elaine Lustig Cohen),John Follis,(American),(1923),(1994),(Male),1984,Architecture & Design
Plate (page 119) from LE SOLEIL DES EAUX,Georges Braque,(French),(1882),(1963),(Male),1949,Prints & Illustrated Books
Still Stills from Remake of Weekend,Pipilotti Rist,(Swiss),(1962),,(Female),1998,Photography
Breath Text: Love Poem,VALIE EXPORT,(Austrian),(1940),,(Female),1970-1973,Media and Performance Art
Jardin Luxembourg,Eugène Atget,(French),(1857),(1927),(Male),1902-1903,Photography
Double Helix Salad Fork,Ward Bennett,(American),(1917),(2003),(Male),1985,Architecture & Design
Skin Deep From Outer Space,Merrill Aldighieri,(American),(1952),,(Male),1982,Film
Untitled,Walter Silver,(American),(1923),(1998),(Male),1963-1964,Photography
Gagaku,Takahisa Kamijyo,(Japanese),(1940),,(Male),1981,Architecture & Design
Versailles--La Fidélité par Lefebvre,Eugène Atget,(French),(1857),(1927),(Male),1923-1924,Photography
Headpiece (page 43) from CIRQUE DE L'ÉTOILE FILANTE,Georges Rouault,(French),(1871),(1958),(Male),1926-1938,Prints & Illustrated Books
Photo Mask of George Maciunas,Peter Moore,(American),(1932),(1993),(Male),1973,Prints & Illustrated Books
Mme. Creator's Handiwork,Federico Castellon,(American),(1914),(1971),(Male),1965,Prints & Illustrated Books
Vignette (folio 44 verso) from LES AMOURS,Émile Bernard,(French),(1868),(1941),(Male),1915,Prints & Illustrated Books
"V. C. Morris Gift Shop, San Francisco (Main floor plan)",Frank Lloyd Wright,(American),(1867),(1959),(Male),1948-1949,Architecture & Design
Biker,Susan Rothenberg,(American),(1945),,(Female),1985,Painting & Sculpture
Headpiece (page 39) from FABLES,Thomas Bewick,(British),(1753),(1828),(Male),1818,Prints & Illustrated Books
HÔTEL D'ECQUEVILLY. RUE DE TURENNE 60,Eugène Atget,(French),(1857),(1927),(Male),1901,Photography
"Anima 2, performed during Concert No. 1, Fully Guaranteed 12 Fluxus Concerts, Fluxhall, 359 Canal Street, New York, April 11, 1964",Takehisa Kosugi,(Japanese),(1938),,(Male),1964,Fluxus Collection
Big and Little Bullys from Ruminations,Robert Rauschenberg,(American),(1925),(2008),(Male),1999,Prints & Illustrated Books
Untitled from Thirty-Three Herbs (Trentatre Erbe),Giuseppe Penone,(Italian),(1947),,(Male),1989,Prints & Illustrated Books
Plate (page 23) from Feuilles éparses,Camille Bryen,(French),(1907),(1976),(Female),1965,Prints & Illustrated Books
"Weissenhof Apartment House, ""The Dwelling"" Exhibition, Stuttgart, Germany (House. Plan and elevation.)",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1926-1927,Architecture & Design
Kentucky,William Gedney,(American),(1932),(1989),(Male),1972,Photography
Violent Intervention,Francis Bruguière,(American),(1879),(1945),(Male),1925-1929,Photography
In-text plate (page 268) from LA 628-E8,Pierre Bonnard,(French),(1867),(1947),(Male),1908,Prints & Illustrated Books
First state of plate 3 (folio 31) from QUATRE HISTOIRES DE BLANC ET NOIR,František Kupka,(Czech),(1871),(1957),(Male),1926,Prints & Illustrated Books
New Orleans,Lee Friedlander,(American),(1934),,(Male),1982,Photography
Plate (page 78) from LES ÉLÉGIES MARTIALES,Raoul Dufy,(French),(1877),(1953),(Male),1917,Prints & Illustrated Books
"Plate from LE CAFÉ CONCERT (suite, folio 12)",Henri-Gabriel Ibels,(French),(1867),(1936),(Male),1893,Prints & Illustrated Books
Alphabet,Hasegawa Sabro,(Japanese),(1907),(1957),(Male),(1954),Prints & Illustrated Books
"New National Gallery, Berlin, Germany (Floor plan of the terrace)",Ludwig Mies van der Rohe,(American),(1886),(1969),(Male),1967,Architecture & Design
The Road to Ypres,Christopher Richard Wynne Nevinson,(British),(1889),(1946),(Male),(1916),Prints & Illustrated Books
Poesia Indigena,Libero Badii,(Argentine),(1916),(2001),(Male),1966,Prints & Illustrated Books
"Projects (""Here is the ideal proportion for a book..."")",Rodney Graham,(Canadian),(1949),,(Male),1988,Prints & Illustrated Books
End Bad Breath,Seymour Chwast,(American),(1931),,(Male),1967,Architecture & Design
"English poster issued by Shell Mex B.P., London, England",Unknown,(Nationality Unknown),,,(),1900-1943,Architecture & Design
Untitled from Favorite Objects,Christian Boltanski,(French),(1944),,(Male),1998,Prints & Illustrated Books
"Die neue Linie, Mai 1930",Herbert Bayer,(American),(1900),(1985),(Male),1930,Architecture & Design
"Meeting House, Southbury, Connecticut",Wright Morris,(American),(1910),(1998),(Male),1938,Photography
Untitled from Favorite Objects,Christian Boltanski,(French),(1944),,(Male),1998,Prints & Illustrated Books
Untitled,Unknown,(),,,(),c. 1938-1960,Photography
Il Racconto dei racconti (Tale of Tales),Matteo Garrone,(Italian),(1968),,(Male),2015,Film
Figure Composition,Max Weber,(American),(1881),(1961),(Male),1919-1920,Prints & Illustrated Books
"Nazism, 12th Lecture: The Third and the Fourth Reich (El Nazismo, 12a conferencia: El tercer y el cuarto reich)",Raúl Anguiano,(Mexican),(1915),(2006),(Male),1938,Prints & Illustrated Books
Five Year Plan in Four Years,Gustav Klutsis,(Latvian),(1895),(1938),(Male),1930,Architecture & Design
Endless Envelope and Shadow Piece II from Fluxus 1,Mieko Shiomi,(Japanese),(1938),,(Female),c. 1976,Prints & Illustrated Books
THE MESSAGE from the portfolio APOCALYPSE,Sid Hammer,(American),(1926),(1969),(Male),1961,Prints & Illustrated Books
In-text plate (folio 9) from LE VERRE D'EAU,Eugène Nestor de Kermadec,(French),(1899),(1976),(Male),1949,Prints & Illustrated Books
Tailpiece (folio 66) from LES OEUVRES BURLESQUES ET MYSTIQUES DE FRÈRE MATOREL MORT AU COUVENT,André Derain,(French),(1880),(1954),(Male),1906-1912,Prints & Illustrated Books
DIANE XVIe SIÈCLE. ÉCOLE DES BEAUX-ARTS,Eugène Atget,(French),(1857),(1927),(Male),1911,Photography
In-text plate (folio 7) from Poésie de mots inconnus,Georges Braque,(French),(1882),(1963),(Male),1949,Prints & Illustrated Books
"4th variant of ...CARRIED AWAY TO THE CONSTELLATIONS... (volume I, 19th unnumbered folio) from PASIPHAÉ",Henri Matisse,(French),(1869),(1954),(Male),1943-1981,Prints & Illustrated Books
Journey from Home Is a Foreign Place,Zarina,(American),(1937),,(Female),1999,Prints & Illustrated Books
Volcano,Werner Knaupp,(German),(1936),,(Male),1968,Drawings
Mode: Kröner Fotos,Georg Trump,(German),(1896),(1985),(Male),c. 1931,Architecture & Design
"Plate 5 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),(1911),(2010),(Female),1995,Prints & Illustrated Books
Are You Rea #13,Robert Heinecken,(American),(1931),(2006),(Male),1964-1968,Photography
Untitled from the Dithyrambe series,Markus Lüpertz,(German),(1941),,(Male),1964,Drawings
Billingsgate Fish Market,Bill Brandt,(British),(1904),(1983),(Male),c. 1934,Photography
Untitled from Tangram,Donald Baechler,(American),(1956),,(Male),1990,Prints & Illustrated Books
"Neural Net: Foveated, Retina-like Sensor, Silicon Microchip",IMEC,(American),,,(),1989,Architecture & Design
Untitled,Per Kirkeby,(Danish),(1938),(2018),(Male),(1978),Drawings
Le Fin,General Idea,(Canadian),,,(Male),1988,Prints & Illustrated Books
Untitled from First Test,Moshe Kupfermann,(Israeli),(1926),(2003),(Male),1988,Prints & Illustrated Books
Jazz,Elizabeth Murray,(American),(1940),(2007),(Female),2001,Prints & Illustrated Books
"Fagus-Werk, Karl Benscheidt",Johannes Molzahn,(German),(1892),(1965),(Male),1922,Architecture & Design
Beach- Hollywood Zoo II,Robert Andrew Parker,(American),(1927),,(Male),1967,Prints & Illustrated Books
Plate (folio 43) from BOOK,Stephen Antonakos,(American),(1926),(2013),(Male),1980-1985,Prints & Illustrated Books
Untitled,Alan Saret,(American),(1944),,(Male),(1970),Drawings
Erich Mendelsohn stationery,Unknown,(German),,,(),1932,Architecture & Design
"SELF PORTRAIT, plate XII from THE GOD SEEKERS",Reuven Rubin,(Israeli),(1893),(1974),(Male),1920-1923,Prints & Illustrated Books
"Untitled (After Malevich and Schiele), from the 1917 exhibition, Nature Morte Gallery, New York",Sherrie Levine,(American),(1947),,(Female),(1984),Drawings
Stranger Than Paradise,Jim Jarmusch,(American),(1953),,(Male),1984,Film
"Ecosse, par les Trains de Luxe, LMS (Scotland by Luxury Train)",A. M. Cassandre,(French),(1901),(1968),(Male),1928,Architecture & Design
Calotypes by D.O. Hill,David Octavius Hill,(British),(1802),(1870),(Male),1843-1847,Photography
Marchand de paniers de fil de fer,Eugène Atget,(French),(1857),(1927),(Male),1899-1900,Photography
Sand Dune 5,Brett Weston,(American),(1911),(1993),(Male),1935,Photography
Object for Collection (nine),Franz Erhard Walther,(German),(1939),,(Male),1967,Painting & Sculpture
"Lutheon House (Casa en El Amarillo), Caracas, Venezuela",Jorge Castillo,(Venezuelan),(1933),,(Male),1975,Architecture & Design
Plate (page 49) from TAGEBÜCHER,Antonio Saura,(Spanish),(1930),(1998),(Male),1988,Prints & Illustrated Books
Untitled from The Group,Ibrahim El-Salahi,(Sudanese),(1930),,(Male),2016,Prints & Illustrated Books
"Metropolitan, Swissair",Kurt Wirth,(Swiss),(1917),,(Male),1956,Architecture & Design
"Drie Stuivers Bal, Eerste bal van de Vereeniging: Vrienden van de Nieuwe Kunstschool",Hajo Rose,(German),(1910),(1989),(Male),1935,Architecture & Design
U.S.A Surpasses All the Genocide Records,George Maciunas,(American),(1931),(1978),(Male),1966,Prints & Illustrated Books
Untitled,Unknown,(),,,(),c. 1938-1960,Photography
Industrialist,August Sander,(German),(1876),(1964),(Male),1929,Photography
Untitled,Unknown,(),,,(),c. 1915,Photography
Red Rock Palms from Biome,William Leavitt,(American),(1941),,(Male),2012,Prints & Illustrated Books
"Untitled (Kunsthalle Zürich, Switzerland, 2007)",Christopher Williams,(American),(1956),,(Male),2007,Prints & Illustrated Books
Torrents of Memory. (boy washing hands),Dennis Farber,(American),(1946),,(Male),1991,Photography
