company,rank,revenues,revenue_change,profits,assets,profit_change,ceo,industry,sector,previous_rank,country,hq_location,website,years_on_global_500_list,employees,total_stockholder_equity
Telefonica,153,57544,-5.5,2619.7,130396,283.4,Jose Maria Alvarez-Pallete Lopez,Telecommunications,Telecommunications,137,Spain,"Madrid, Spain",http://www.telefonica.com,23,127323,19149
Banco Bradesco,154,57443,31.3,5127.9,366418,-5.7,Luiz Carlos Trabuco Cappi,Banks: Commercial and Savings,Financials,209,Brazil,"Osasco, Brazil",http://www.bradesco.com.br,21,94541,32369
United Technologies,155,57244,-6.2,5055.0,89706,-33.6,Gregory J. Hayes,Aerospace and Defense,Aerospace & Defense,136,USA,"Farmington, CT",http://www.utc.com,23,201600,27579
ArcelorMittal,156,56791,-10.7,1779.0,75142,,Lakshmi N. Mittal,Metals,Materials,123,Luxembourg,"Luxembourg, Luxembourg",http://www.arcelormittal.com,13,198517,30135
Renault,157,56667,12.7,3780.9,107681,20.7,Carlos Ghosn,Motor Vehicles and Parts,Motor Vehicles & Parts,178,France,"Boulogne-Billancourt, France",http://www.groupe.renault.com,23,124849,32423
Rosneft Oil,158,56553,-12.7,2705.1,180756,-53.4,Igor I. Sechin,Petroleum Refining,Energy,118,Russia,"Moscow, Russia",http://www.rosneft.com,12,295800,54227
Shandong Weiqiao Pioneering Group,159,56174,5.9,1217.2,31641,8.6,Zhang Shiping,Textiles,Industrials,163,China,"Shandong, China",http://www.weiqiaocy.com,6,135393,9438
Marathon Petroleum,160,55858,-13.5,1174.0,44413,-58.8,Gary R. Heminger,Petroleum Refining,Energy,120,USA,"Findlay, OH",http://www.marathonpetroleum.com,6,44460,13557
Disney,161,55632,6.0,9391.0,92033,12.0,Robert A. Iger,Entertainment,Media,164,USA,"Burbank, CA",http://www.disney.com,23,195000,43265
Aviation Industry Corp. of China,162,55306,-8.2,464.2,124892,-47.4,Tan Ruisong,Aerospace and Defense,Aerospace & Defense,143,China,"Beijing, China",http://www.avic.com,9,457097,24345
ING Group,163,55282,-16.5,5501.6,888226,0.7,Ralph Hamers,Banks: Commercial and Savings,Financials,117,Netherlands,"Amsterdam, Netherlands",http://www.ing.com,23,51943,49839
Mitsubishi UFJ Financial Group,164,55185,15.9,8550.1,2722354,7.9,Nobuyuki Hirano,Banks: Commercial and Savings,Financials,191,Japan,"Tokyo, Japan",http://www.mufg.jp,16,115276,110573
Royal Ahold Delhaize,165,54955,29.7,917.9,38257,-2.9,Dick Boer,Food and Drug Stores,Food & Drug Stores,222,Netherlands,"Zaandam, Netherlands",http://www.aholddelhaize.com,23,225000,17165
Humana,166,54379,0.2,614.0,25396,-51.9,Bruce D. Broussard,Health Care: Insurance and Managed Care,Health Care,162,USA,"Louisville, KY",http://www.humana.com,19,51600,10685
Seven & I Holdings,167,53858,7.5,892.9,49244,-33.0,Ryuichi Isaka,Food and Drug Stores,Food & Drug Stores,179,Japan,"Tokyo, Japan",http://www.7andi.com,12,54712,20086
Indian Oil,168,53562,-2.1,2960.0,42132,72.7,Sanjiv Singh,Petroleum Refining,Energy,161,India,"New Delhi, India",http://www.iocl.com,23,34999,15724
Roche Group,169,53427,2.0,9719.9,75609,5.5,Severin Schwan,Pharmaceuticals,Health Care,167,Switzerland,"Basel, Switzerland",http://www.roche.com,23,94052,23534
HNA Group,170,53035,79.4,278.9,173095,18.7,Tan Xiangdong,Airlines,Transportation,353,China,"Haikou City, China",http://www.hnagroup.com,3,220258,14096
Bank of Communications,171,52990,-7.1,10116.9,1209176,-4.4,Niu Ximing,Banks: Commercial and Savings,Financials,153,China,"Shanghai, China",http://www.bankcomm.com,9,95160,90531
CITIC Group,172,52852,-5.5,3236.3,938261,-14.0,Chang Zhenming,Diversified Financials,Financials,156,China,"Beijing, China",http://www.citicgroup.com.cn,9,201263,41784
Pfizer,173,52824,8.1,7215.0,171615,3.7,Ian C. Read,Pharmaceuticals,Health Care,186,USA,"New York, NY",http://www.pfizer.com,23,96500,59544
Bayer,174,52569,0.3,5010.6,86731,9.9,Werner Baumann,Pharmaceuticals,Health Care,165,Germany,"Leverkusen, Germany",http://www.bayer.com,23,115170,31990
AIG,175,52367,-10.2,-849.0,498264,-138.7,Brian Duperreault,Insurance: Property and Casualty (Stock),Financials,150,USA,"New York, NY",http://www.aig.com,22,56400,76300
America Movil,176,52201,-7.4,462.9,73555,-79.0,Daniel Hajj Aboumrad,Telecommunications,Telecommunications,154,Mexico,"Mexico City, Mexico",http://www.americamovil.com,11,194193,10143
Korea Electric Power,177,51500,-0.6,6074.1,147265,-48.3,Hwan-Eik Cho,Utilities,Energy,172,South Korea,"Jeollanam-do, South Korea",http://www.kepco.co.kr,23,43688,59394
Lockheed Martin,178,50658,9.8,5302.0,47806,47.1,Marillyn A. Hewson,Aerospace and Defense,Aerospace & Defense,197,USA,"Bethesda, MD",http://www.lockheedmartin.com,23,97000,1511
Sysco,179,50367,3.5,949.6,16722,38.3,William J. DeLaney III,Wholesalers: Food and Grocery,Wholesalers,188,USA,"Houston, TX",http://www.sysco.com,23,51900,3480
FedEx,180,50365,6.1,1820.0,46064,73.3,Frederick W. Smith,"Mail, Package, and Freight Delivery",Transportation,192,USA,"Memphis, TN",http://www.fedex.com,23,335767,13784
Hewlett Packard Enterprise,181,50123,,3161.0,79679,,Margaret C. Whitman,Information Technology Services,Technology,0,USA,"Palo Alto, CA",http://www.hpe.com,1,195000,31448
Louis Dreyfus Company,182,49838,-10.6,305.0,19843,44.5,Gonzalo Ramirez Martiarena,Food Production,"Food, Beverages & Tobacco",157,Netherlands,"Rotterdam, Netherlands",http://www.ldc.com,4,17407,5115
Amer International Group,183,49677,3.9,1199.9,18405,5.2,Wang Wenyin,"Electronics, Electrical Equip.",Technology,190,China,"Shenzhen, China",http://www.amer.com.cn,5,17852,10005
Petronas,184,49479,-22.0,4092.9,134528,21.4,Wan Zulkiflee Wan Ariffin,Petroleum Refining,Energy,125,Malaysia,"Kuala Lumpur, Malaysia",http://www.petronas.com.my,21,51034,84800
Tokyo Electric Power,185,49446,-2.2,1225.7,110202,4.5,Naomi Hirose,Utilities,Energy,177,Japan,"Tokyo, Japan",http://www.tepco.co.jp,23,42060,20905
Novartis,186,49436,-3.1,6712.0,130124,-62.3,Joseph Jimenez,Pharmaceuticals,Health Care,175,Switzerland,"Basel, Switzerland",http://www.novartis.com,23,118393,74832
Cisco Systems,187,49247,0.2,10739.0,121652,19.6,Charles H. Robbins,Network and Other Communications Equipment,Technology,183,USA,"San Jose, CA",http://www.cisco.com,18,73700,63586
MS&AD Insurance Group Holdings,188,49239,17.9,1942.2,190596,28.5,Yasuyoshi Karasawa,Insurance: Property and Casualty (Stock),Financials,231,Japan,"Tokyo, Japan",http://www.ms-ad-hd.com,19,40641,12793
Deutsche Bank,189,48876,-6.8,-1550.4,1677437,,John Cryan,Banks: Commercial and Savings,Financials,166,Germany,"Frankfurt, Germany",http://www.db.com,23,99744,63102
PowerChina,190,48869,7.2,1057.6,86687,-9.6,Yan Zhiyong,"Engineering, Construction",Engineering & Construction,200,China,"Beijing, China",http://www.powerchina.cn,6,187813,9990
JBS,191,48825,-0.1,107.7,31605,-92.3,Wesley Mendonca Batista,Food Production,"Food, Beverages & Tobacco",185,Brazil,"Sao Paulo, Brazil",http://jbss.infoinvest.com.br,8,237061,7307
PTT,192,48719,-17.7,2681.6,62349,360.6,Tevin Vongvanich,Petroleum Refining,Energy,146,Thailand,"Bangkok, Thailand",http://www.pttplc.com,14,24934,21309
Tokio Marine Holdings,193,48292,26.6,2527.4,202923,19.2,Tsuyoshi Nagano,Insurance: Property and Casualty (Stock),Financials,261,Japan,"Tokyo, Japan",http://www.tokiomarinehd.com,23,38842,16474
HP,194,48238,-53.3,2496.0,29010,-45.2,Dion J. Weisler,"Computers, Office Equipment",Technology,48,USA,"Palo Alto, CA",http://www.hp.com,23,49000,-3889
RWE,195,48204,-6.6,-6249.1,80576,,Rolf Martin Schmitz,Utilities,Energy,174,Germany,"Essen, Germany",http://www.rwe.com,23,58652,3898
Dow Chemical,196,48158,-1.3,4318.0,79511,-43.8,Andrew N. Liveris,Chemicals,Chemicals,187,USA,"Midland, MI",http://www.dow.com,23,56000,25987
Finatis,197,48154,-7.3,687.8,46270,,Didier Leveque,Food and Drug Stores,Food & Drug Stores,170,France,"Paris, France",http://www.finatis.fr,3,232503,744
Wesfarmers,198,48003,-7.6,296.1,30358,-85.4,Richard J.B. Goyder,Food and Drug Stores,Food & Drug Stores,171,Australia,"Perth, Australia",http://www.wesfarmers.com.au,9,220000,17083
Sinopharm,199,47810,7.9,504.0,36767,13.7,She Lulin,Pharmaceuticals,Health Care,205,China,"Beijing, China",http://www.sinopharm.com,5,106772,5658
CNP Assurances,200,47804,-3.0,1327.3,442027,5.8,Frederic Lavenir,"Insurance: Life, Health (stock)",Financials,182,France,"Paris, France",http://www.cnp.fr,23,5035,18491
LG Electronics,201,47712,-4.6,66.2,31348,-39.8,Seong-Jin Jo,"Electronics, Electrical Equip.",Technology,180,South Korea,"Seoul, South Korea",http://www.lg.com,17,75000,9926
Sumitomo Mitsui Financial Group,202,47375,19.2,6520.5,1775349,21.0,Takeshi Kunibe,Banks: Commercial and Savings,Financials,243,Japan,"Tokyo, Japan",http://www.smfg.co.jp,23,77205,72876
Reliance Industries,203,46931,8.0,4458.9,108856,5.6,Mukesh D. Ambani,Petroleum Refining,Energy,215,India,"Mumbai, India",http://www.ril.com,14,140483,40614
China Baowu Steel Group,204,46606,-11.5,442.8,106725,,Ma Guoqiang,Metals,Materials,275,China,"Shanghai, China",http://www.baowugroup.com,14,169344,35728
Noble Group,205,46528,-30.3,8.7,12285,,William J. Randall,Trading,Wholesalers,116,China,"Hong Kong, China",http://www.thisisnoble.com,10,1000,3974
Anheuser-Busch InBev,206,45905,5.3,1241.0,258381,-85.0,Carlos Brito,Beverages,"Food, Beverages & Tobacco",211,Belgium,"Leuven, Belgium",http://www.ab-inbev.com,12,206633,71339
Statoil,207,45873,-23.4,-2902.0,104530,,Eldar Saetre,Petroleum Refining,Energy,145,Norway,"Stavanger, Norway",http://www.statoil.com,23,20539,35072
POSCO,208,45621,-11.8,1167.5,66361,669.8,Oh-Joon Kwon,Metals,Materials,173,South Korea,"Seoul, South Korea",http://www.posco.com,23,31768,35057
Kia Motors,209,45425,3.7,2373.8,42141,2.0,Hyoung-Keun Lee,Motor Vehicles and Parts,Motor Vehicles & Parts,208,South Korea,"Seoul, South Korea",http://www.kia.com,6,51357,22010
Orange,210,45249,1.3,3245.7,99840,10.3,Stephane Richard,Telecommunications,Telecommunications,204,France,"Paris, France",http://www.orange.com,23,155202,32365
ChemChina,211,45177,9.1,17.9,54341,,Ren Jianxin,Chemicals,Chemicals,234,China,"Beijing, China",http://www.chemchina.com,7,110614,3462
Deutsche Bahn,212,44850,0.1,768.6,59716,,Richard Lutz,Railroads,Transportation,203,Germany,"Berlin, Germany",http://www.deutschebahn.com,23,306368,13246
Continental,213,44842,3.0,3099.1,38151,2.4,Elmar Degenhart,Motor Vehicles and Parts,Motor Vehicles & Parts,213,Germany,"Hanover, Germany",http://www.continental-corporation.com,15,220137,15050
HCA Holdings,214,44747,2.7,2890.0,33758,35.7,R. Milton Johnson,Health Care: Medical Facilities,Health Care,212,USA,"Nashville, TN",http://www.hcahealthcare.com,23,210500,-7302
Itochu,215,44654,5.5,3250.6,72902,62.3,Masahiro Okafuji,Trading,Wholesalers,223,Japan,"Osaka, Japan",http://www.itochu.co.jp,23,110207,21559
China Merchants Bank,216,44552,-8.1,9344.8,855070,1.8,Tian Huiyu,Banks: Commercial and Savings,Financials,189,China,"Shenzhen, China",http://www.cmbchina.com,6,70461,57896
State Bank of India,217,44533,6.8,36.0,530590,-98.1,Arundhati Bhattacharya,Banks: Commercial and Savings,Financials,232,India,"Mumbai, India",http://www.sbi.co.in,12,278872,33450
Woolworths,218,43925,-13.2,-898.3,17495,-150.3,Brad Banducci,Food and Drug Stores,Food & Drug Stores,176,Australia,"Bella Vista, Australia",http://www.woolworthslimited.com.au,21,205000,6305
KDDI,219,43822,17.8,5045.1,56223,22.5,Takashi Tanaka,Telecommunications,Telecommunications,271,Japan,"Tokyo, Japan",http://www.kddi.com,20,35032,31904
Swiss Re,220,43786,22.6,3558.0,215065,-22.6,Christian Mumenthaler,Insurance: Property and Casualty (Stock),Financials,282,Switzerland,"Zurich, Switzerland",http://www.swissre.com,23,14053,35634
HBIS Group,221,43769,-3.3,-146.8,51858,,Yu Yong,Metals,Materials,201,China,"Shijiazhuang, China",http://www.hbisco.com,9,125552,7693
CEFC China Energy,222,43743,4.5,740.9,22578,22.8,Chan Chauto,Energy,Energy,229,China,"Shanghai, China",http://www.cefc.co,4,29637,3916
Banco Bilbao Vizcaya Argentaria,223,43698,1.7,3842.8,771837,31.1,Carlos Torres Vila,Banks: Commercial and Savings,Financials,219,Spain,"Bilbao, Spain",http://www.bbva.com,23,134792,49952
ThyssenKrupp,224,43589,-11.0,328.6,39411,-7.1,Heinrich Hiesinger,Metals,Materials,184,Germany,"Essen, Germany",http://www.thyssenkrupp.com,23,156487,2362
Saint-Gobain,225,43231,-6.4,1449.8,46158,0.9,Pierre-Andre de Chalendar,"Building Materials, Glass",Materials,196,France,"Courbevoie, France",http://www.saint-gobain.com,23,172696,19790
Lenovo Group,226,43035,-4.2,535.1,27186,,Yang Yuanqing,"Computers, Office Equipment",Technology,202,China,"Hong Kong, China",http://www.lenovo.com,8,52000,3224
Vinci,227,42771,-1.9,2770.1,71642,22.1,Xavier Huillard,"Engineering, Construction",Engineering & Construction,210,France,"Rueil-Malmaison, France",http://www.vinci.com,17,183487,17365
Nippon Steel & Sumitomo Metal,228,42757,4.6,1208.5,65182,-0.2,Kosei Shindo,Metals,Materials,238,Japan,"Tokyo, Japan",http://www.nssmc.com,23,100169,23555
Bunge,229,42679,-1.8,745.0,19188,-5.8,Soren W. Schroder,Food Production,"Food, Beverages & Tobacco",214,USA,"White Plains, NY",http://www.bunge.com,15,32000,7144
Industrial Bank,230,42622,-8.2,8105.9,875731,1.5,Tao Yiping,Banks: Commercial and Savings,Financials,195,China,"Fuzhou, China",http://www.cib.com.cn,5,56236,50382
E.ON,231,42213,-67.3,-9344.4,67179,,Johannes Teyssen,Energy,Energy,32,Germany,"Essen, Germany",http://www.eon.com,23,43138,-1113
Sberbank,232,42159,-7.6,8078.0,415730,121.0,Herman O. Gref,Banks: Commercial and Savings,Financials,199,Russia,"Moscow, Russia",http://www.sberbank.ru,10,325075,46182
China Shipbuilding Industry,233,42149,17.0,485.8,69621,-62.9,Hu Wenming,Industrial Machinery,Industrials,281,China,"Beijing, China",http://www.csic.com.cn,7,182129,17789
Christian Dior,234,42113,0.5,1740.3,69870,-38.7,Sidney Toledano,Apparel,Apparel,228,France,"Paris, France",http://www.dior-finance.com,17,120479,12293
Coca-Cola,235,41863,-5.5,6527.0,87270,-11.2,James B. Quincey,Beverages,"Food, Beverages & Tobacco",206,USA,"Atlanta, GA",http://www.coca-colacompany.com,23,100300,23062
Denso,236,41781,10.9,2377.6,46233,16.9,Koji Arima,Motor Vehicles and Parts,Motor Vehicles & Parts,268,Japan,"Kariya, Japan",http://www.denso.com,23,154493,29735
Fujitsu,237,41620,5.4,816.7,28646,13.0,Tatsuya Tanaka,Information Technology Services,Technology,248,Japan,"Tokyo, Japan",http://www.fujitsu.com,23,155069,7910
Guangzhou Automobile Industry Group,238,41560,20.7,551.9,30267,10.8,Zeng Qinghong,Motor Vehicles and Parts,Motor Vehicles & Parts,303,China,"Guangzhou, China",http://www.gagc.com.cn,5,75908,3791
Wilmar International,239,41402,6.8,972.2,37032,-7.9,Kuok Khoon Hong,Food Production,"Food, Beverages & Tobacco",254,Singapore,Singapore,http://www.wilmar-international.com,9,90000,14435
Sanofi,240,41376,-0.2,5207.4,110390,9.5,Olivier Brandicourt,Pharmaceuticals,Health Care,233,France,"Paris, France",http://www.sanofi.com,13,113816,60698
China United Network Communications,241,41274,-6.4,23.2,88626,-95.8,Wang Xiaochu,Telecommunications,Telecommunications,207,China,"Beijing, China",http://www.chinaunicom-a.com,9,253724,11152
Sumitomo Life Insurance,242,40921,31.6,517.5,308346,-6.1,Masahiro Hashimoto,"Insurance: Life, Health (Mutual)",Financials,335,Japan,"Osaka, Japan",http://www.sumitomolife.co.jp,23,42245,8491
New York Life Insurance,243,40787,-11.1,1088.1,287196,324.1,Theodore A. Mathas,"Insurance: Life, Health (Mutual)",Financials,198,USA,"New York, NY",http://www.newyorklife.com,23,11320,20108
Centene,244,40721,78.6,562.0,20197,58.3,Michael F. Neidorff,Health Care: Insurance and Managed Care,Health Care,470,USA,"St. Louis, MO",http://www.centene.com,2,30500,5895
Shanghai Pudong Development Bank,245,40689,-3.2,7992.8,842832,-0.7,Gao Guofu,Banks: Commercial and Savings,Financials,227,China,"Shanghai, China",http://www.spdb.com.cn,5,52832,52946
Hanwha,246,40606,11.0,423.7,128247,,Tae-Jong Lee,"Insurance: Life, Health (stock)",Financials,277,South Korea,"Seoul, South Korea",http://www.hanwhacorp.co.kr,12,49000,3650
Tata Motors,247,40329,-4.2,1111.6,42162,-34.0,Guenter Butschek,Motor Vehicles and Parts,Motor Vehicles & Parts,226,India,"Mumbai, India",http://www.tatamotors.com,8,79558,8942
Aluminum Corp. of China,248,40278,6.0,-282.5,75089,,Yu Dehui,Metals,Materials,262,China,"Beijing, China",http://www.chalco.com.cn,10,121146,2669
Mitsui,249,40275,1.6,2825.3,103231,,Tatsuo Yasunaga,Trading,Wholesalers,245,Japan,"Tokyo, Japan",http://www.mitsui.com,23,42316,33500
Manulife Financial,250,40238,49.4,2209.7,537461,28.9,Donald A. Guloien,"Insurance: Life, Health (stock)",Financials,394,Canada,"Toronto, Ontario, Canada",http://www.manulife.com,15,34500,31197
China Minsheng Banking,251,40234,-5.2,7201.6,848389,-1.8,Zheng Wanchun,Banks: Commercial and Savings,Financials,221,China,"Beijing, China",http://www.cmbc.com.cn,5,58720,49297
China Pacific Insurance (Group),252,40193,2.2,1814.9,146873,-35.7,Huo Lianhong,"Insurance: Life, Health (stock)",Financials,251,China,"Shanghai, China",http://www.cpic.com.cn,7,97032,18960
American Airlines Group,253,40180,-2.0,2676.0,51274,-64.8,W. Douglas Parker,Airlines,Transportation,236,USA,"Fort Worth, TX",http://www.aa.com,23,122300,3785
Nationwide,254,40074,-0.4,334.3,197790,-42.4,Stephen S. Rasmussen,Insurance: Property and Casualty (Mutual),Financials,241,USA,"Columbus, OH",http://www.nationwide.com,23,34320,15537
Merck,255,39807,0.8,3920.0,95377,-11.8,Kenneth C. Frazier,Pharmaceuticals,Health Care,246,USA,"Kenilworth, NJ",http://www.merck.com,23,68000,40088
Cigna,256,39668,4.7,1867.0,59360,-10.8,David M. Cordani,Health Care: Insurance and Managed Care,Health Care,264,USA,"Bloomfield, CT",http://www.cigna.com,22,41000,13723
Delta Air Lines,257,39639,-2.6,4373.0,51261,-3.4,Edward H. Bastian,Airlines,Transportation,239,USA,"Atlanta, GA",http://www.delta.com,23,83756,12287
Best Buy,258,39403,-0.9,1228.0,13856,36.9,Hubert B. Joly,Specialty Retailers,Retailing,244,USA,"Richfield, MN",http://www.bestbuy.com,19,125000,4709
China National Building Material Group,259,39323,24.0,74.5,81224,,Song Zhiping,"Building Materials, Glass",Materials,327,China,"Beijing, China",http://www.cnbm.com.cn,7,228448,5822
Honeywell International,260,39302,1.9,4809.0,54146,0.9,Darius Adamczyk,"Electronics, Electrical Equip.",Technology,256,USA,"Morris Plains, NJ",http://www.honeywell.com,23,131000,19369
JD.com,261,39155,35.7,-573.0,23077,,Richard Qiangdong Liu,Internet Services and Retailing,Technology,366,China,"Beijing, China",http://www.jd.com,2,120622,4877
Mitsubishi Electric,262,39119,6.9,1942.6,37519,2.1,Masaki Sakuyama,"Electronics, Electrical Equip.",Technology,276,Japan,"Tokyo, Japan",http://www.mitsubishielectric.com,23,138700,18307
ZF Friedrichshafen,263,38888,20.2,949.9,30719,-12.1,Stefan Sommer,Motor Vehicles and Parts,Motor Vehicles & Parts,320,Germany,"Friedrichshafen, Germany",http://www.zf.com,4,136820,6134
Caterpillar,264,38537,-18.0,-67.0,74704,-103.2,D. James Umpleby III,Construction and Farm Machinery,Industrials,194,USA,"Peoria, IL",http://www.caterpillar.com,23,95400,13137
Liberty Mutual Insurance Group,265,38308,-2.9,1006.0,125592,95.7,David H. Long,Insurance: Property and Casualty (Stock),Financials,249,USA,"Boston, MA",http://www.libertymutual.com,23,50000,20366
Power Corp. of Canada,266,38286,27.9,855.5,315387,-40.5,Paul Desmarais Jr.,"Insurance: Life, Health (stock)",Financials,351,Canada,"Montreal, Quebec, Canada",http://www.powercorporation.com,19,30259,10339
Morgan Stanley,267,37949,0.1,5979.0,814949,-2.4,James P. Gorman,Banks: Commercial and Savings,Financials,263,USA,"New York, NY",http://www.morganstanley.com,20,55311,76050
Hengli Group,268,37880,12.2,821.7,14838,43.7,Chen Jianhua,Textiles,Industrials,0,China,"Suzhou City, China",http://www.hengli.com,1,61400,5498
SSE,269,37813,-12.7,2082.9,29899,200.3,Alistair Phillips-Davies,Utilities,Energy,216,Britain,"Perth, Britain",http://www.sse.com,12,21157,7842
Massachusetts Mutual Life Insurance,270,37788,-1.2,1273.5,271040,-10.6,Roger W. Crandall,"Insurance: Life, Health (Mutual)",Financials,258,USA,"Springfield, MA",http://www.massmutual.com,21,11737,15424
Goldman Sachs Group,271,37712,-3.8,7398.0,860165,21.6,Lloyd C. Blankfein,Banks: Commercial and Savings,Financials,252,USA,"New York, NY",http://www.gs.com,18,34400,86893
Johnson Controls International,272,37674,-6.3,-868.0,63253,-155.5,Alex A. Molinaroli,Industrial Machinery,Industrials,0,Ireland,"Cork, Ireland",http://www.johnsoncontrols.com,13,209000,24118
GlaxoSmithKline,273,37642,3.0,1230.9,72985,-90.4,Emma N. Walmsley,Pharmaceuticals,Health Care,278,Britain,"Brentford, Britain",http://www.gsk.com,23,99300,1389
China Huaneng Group,274,37543,-13.1,-85.9,144306,-111.1,Cao Peixi,Energy,Energy,217,China,"Beijing, China",http://www.chng.com.cn,9,143691,7512
Energy Transfer Equity,275,37504,-11.0,995.0,79011,-16.3,John W. McReynolds,Pipelines,Energy,225,USA,"Dallas, TX",http://www.energytransfer.com,4,30992,-1694
Shenhua Group,276,37322,-0.8,1916.9,140911,37.9,Ling Wen,"Mining, Crude-Oil Production",Energy,270,China,"Beijing, China",http://www.shenhuagroup.com.cn,8,202200,47962
Greenland Holding Group,277,37240,12.8,1085.2,105495,-1.0,Zhang Yuliang,Real estate,Financials,311,China,"Shanghai, China",http://www.ldjt.com.cn,6,39887,8333
TIAA,278,37105,5.5,1492.3,523194,22.9,Roger W. Ferguson Jr.,"Insurance: Life, Health (Mutual)",Financials,291,USA,"New York, NY",http://www.tiaa.org,20,12997,35583
Jardine Matheson,279,37051,0.1,2503.0,71523,39.3,Ben Keswick,Motor Vehicles and Parts,Motor Vehicles & Parts,273,China,"Hong Kong, China",http://www.jardines.com,18,430000,21800
Oracle,280,37047,-3.1,8901.0,112180,-10.4,Safra A. Catz,Computer Software,Technology,260,USA,"Redwood City, CA",http://www.oracle.com,11,136000,47289
ACS,281,36992,-4.5,830.5,35196,3.2,Florentino Perez Rodriguez,"Engineering, Construction",Engineering & Construction,255,Spain,"Madrid, Spain",http://www.grupoacs.com,13,117542,3778
Sumitomo,282,36888,10.4,1577.1,69669,154.0,Kuniharu Nakamura,Trading,Wholesalers,308,Japan,"Tokyo, Japan",http://www.sumitomocorp.co.jp,23,70900,21241
Tyson Foods,283,36881,-10.9,1768.0,22373,44.9,Thomas P. Hayes,Food Production,"Food, Beverages & Tobacco",235,USA,"Springdale, AR",http://www.tysonfoods.com,16,114000,9608
Barclays,284,36789,-25.7,2807.4,1498612,,James E. Staley,Banks: Commercial and Savings,Financials,181,Britain,"London, Britain",http://www.barclays.com,23,119300,80140
Poste Italiane,285,36617,7.4,687.8,203760,12.3,Matteo Del Fante,"Insurance: Life, Health (stock)",Financials,305,Italy,"Rome, Italy",http://www.posteitaliane.it,12,136739,8578
Centrica,286,36580,-14.4,2256.7,27046,,Iain C. Conn,Utilities,Energy,220,Britain,"Windsor, Britain",http://www.centrica.com,20,38278,3293
United Continental Holdings,287,36556,-3.5,2263.0,40140,-69.2,Oscar Munoz,Airlines,Transportation,265,USA,"Chicago, IL",http://www.unitedcontinentalholdings.com,22,88000,8659
Allstate,288,36534,2.5,1877.0,108610,-13.5,Thomas J. Wilson,Insurance: Property and Casualty (Stock),Financials,283,USA,"Northbrook, IL",http://www.allstate.com,22,43275,20573
Pertamina,289,36487,-12.6,3147.0,47233,121.6,Elia Massa Manik,Petroleum Refining,Energy,230,Indonesia,"Jakarta, Indonesia",http://www.pertamina.com,5,27227,21864
Magna International,290,36445,7.6,2031.0,22566,0.9,Donald J. Walker,Motor Vehicles and Parts,Motor Vehicles & Parts,306,Canada,"Aurora, Ontario, Canada",http://www.magna.com,17,155450,9768
UBS Group,291,36230,-5.9,3252.2,920291,-49.6,Sergio P. Ermotti,Banks: Commercial and Savings,Financials,257,Switzerland,"Zurich, Switzerland",http://www.ubs.com,23,59387,52777
Intesa Sanpaolo,292,36225,-14.2,3440.3,764712,13.2,Carlo Messina,Banks: Commercial and Savings,Financials,224,Italy,"Turin, Italy",http://www.group.intesasanpaolo.com,19,89126,51583
George Weston,293,36211,-1.3,414.9,28299,0.6,Galen G. Weston,Food and Drug Stores,Food & Drug Stores,274,Canada,"Toronto, Ontario, Canada",http://www.weston.ca,23,195000,5790
Mitsubishi Heavy Industries,294,36122,7.2,809.6,49205,52.3,Shunichi Miyanaga,Industrial Machinery,Industrials,307,Japan,"Tokyo, Japan",http://www.mhi.com,23,82728,15074
Rajesh Exports,295,36114,43.1,185.8,3717,13.8,Rajesh J. Mehta,Trading,Wholesalers,423,India,"Bengaluru, India",http://www.rajeshindia.com,2,328,868
Pegatron,296,35891,-6.1,599.6,13776,-20.1,Syh-Jang Liao,"Computers, Office Equipment",Technology,259,Taiwan,"Taipei, Taiwan",http://www.pegatroncorp.com,5,196251,4601
Meiji Yasuda Life Insurance,297,35767,0.4,2064.8,362739,15.8,Akio Negishi,"Insurance: Life, Health (Mutual)",Financials,284,Japan,"Tokyo, Japan",http://www.meijiyasuda.co.jp,23,41872,12074
Maersk Group,298,35464,-12.0,-1939.0,61118,-345.1,Soren Skou,Shipping,Transportation,240,Denmark,"Copenhagen, Denmark",http://www.maersk.com,14,87736,31258
SABIC,299,35421,-10.3,4757.1,84489,-4.9,Yousef Abdullah Al-Benyan,Chemicals,Chemicals,247,Saudi Arabia,"Riyadh, Saudi Arabia",http://www.sabic.com,13,35000,43471
Bouygues,300,35277,-2.2,809.5,36758,81.1,Martin Bouygues,"Engineering, Construction",Engineering & Construction,280,France,"Paris, France",http://www.bouygues.com,23,117997,8585
Volvo,301,35269,-4.8,1535.8,43924,-14.0,Martin Lundstedt,Motor Vehicles and Parts,Motor Vehicles & Parts,272,Sweden,"Goteborg, Sweden",http://www.volvogroup.com,23,89477,10577
Talanx,302,35101,-0.8,1003.0,165124,23.2,Herbert K. Haas,Insurance: Property and Casualty (Stock),Financials,289,Germany,"Hanover, Germany",http://www.talanx.com,4,20039,9574
Lufthansa Group,303,35011,-1.5,1964.0,36593,4.3,Carsten Spohr,Airlines,Transportation,285,Germany,"Cologne, Germany",http://www.lufthansagroup.com,23,107276,7446
Royal Bank of Canada,304,34904,0.3,7839.6,880724,-1.8,David I. McKay,Banks: Commercial and Savings,Financials,297,Canada,"Toronto, Ontario, Canada",http://www.rbc.com,23,75510,52994
