ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB
188,Voluntary Early Retirement (VER),2012,2007,2009,Public Servant,AO5-AO7,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,A,A,N,A,SA,A,A,A,SA,SA,SA,D,A,D,SD,SD,A,SD,N,N,Female,26-30,N/A,N/A,N/A,N/A,N/A
189,Other,2012,2006,2009,Public Servant,AO5-AO7,Central Office,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,A,N,N,A,SA,SA,N,SA,D,D,N,D,D,D,D,D,N,SD,A,N,Female,26-30,N/A,N/A,N/A,N/A,N/A
190,Resignation-Other employer,2012,2006,2007,Public Servant,AO8 and Above,Central Office,Other,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,SA,SA,SA,SA,N,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,41-45,Yes,N/A,N/A,N/A,N/A
191,Voluntary Early Retirement (VER),2012,1971,2004,Public Servant,AO5-AO7,Central Office,Other,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SD,SD,N,D,A,A,N,SD,N,N,D,A,SD,D,SD,N,N,N,N,N,N,Female,56-60,N/A,N/A,N/A,N/A,N/A
192,Other,2012,1995,2009,Public Servant,A01-A04,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,D,D,D,D,A,N,A,SA,SA,SA,SA,A,N,A,N,D,D,D,SD,N,N,Female,56-60,N/A,N/A,N/A,N/A,N/A
193,Resignation-Other reasons,2012,1995,2001,Teacher Aide,,Far North Queensland,,Permanent Full-time,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,SA,A,SD,SD,N,A,SD,SD,A,SA,SA,SA,SD,SD,SD,N,D,A,D,SD,N,Female,46-50,N/A,N/A,N/A,N/A,N/A
194,Voluntary Early Retirement (VER),2012,2001,2012,Public Servant,AO8 and Above,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,D,D,SA,SA,A,N,N,A,A,A,SD,SD,SD,A,A,A,A,A,A,Male,31-35,N/A,N/A,N/A,N/A,N/A
195,Age Retirement,2013,1963,1984,Teacher,Primary,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,D,N,A,N,D,D,D,A,SA,A,A,SA,D,A,N,A,A,A,A,D,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
196,Resignation-Other employer,2012,1989,2010,Technical Officer,,North Coast,,Permanent Full-time,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,N/A,A,SA,SA,SA,SA,SA,SA,SA,SA,Female,46-50,N/A,N/A,N/A,N/A,N/A
197,Resignation-Other reasons,2012,Not Stated,Not Stated,Teacher Aide,,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SD,N,N,A,A,A,A,A,N,M,SD,A,A,A,A,A,A,A,N,N,Female,46-50,N/A,N/A,N/A,N/A,N/A
198,Resignation-Other employer,2012,2005,2005,Public Servant,A01-A04,South East,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,SD,N,D,A,A,N,D,N,D,SD,A,D,N,D,D,D,N,D,N,D,Female,31-35,N/A,N/A,N/A,N/A,N/A
199,Ill Health Retirement,2012,1984,1995,Teacher,Primary,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,D,D,A,SA,SA,SA,A,D,A,N,A,A,A,A,D,A,Female,46-50,N/A,N/A,N/A,N/A,N/A
200,Age Retirement,2012,2003,2006,Cleaner,,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,M,M,M,M,M,SA,M,M,M,M,M,M,M,M,M,SA,M,M,M,M,M,Female,61 or older,N/A,N/A,N/A,N/A,N/A
201,Voluntary Early Retirement (VER),2012,1993,2010,Public Servant,AO8 and Above,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,51-55,N/A,N/A,N/A,N/A,N/A
202,Voluntary Early Retirement (VER),2012,1991,Not Stated,Teacher Aide,,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,N,A,A,A,A,A,A,A,A,A,A,N,A,SA,A,SA,A,A,SA,SA,Female,56-60,N/A,N/A,N/A,N/A,N/A
203,Ill Health Retirement,2012,Not Stated,2003,Teacher Aide,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,N,D,N,SD,D,SD,SD,SD,A,SA,SA,A,SD,N,D,SD,N,D,SD,SD,SD,Female,46-50,N/A,N/A,N/A,N/A,N/A
204,Other,2012,1974,1995,Other,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,A,SD,N,SD,SD,N,N,D,N,N,N,D,D,D,D,N,D,N,SD,N/A,SD,Female,61 or older,N/A,N/A,N/A,N/A,N/A
205,Resignation-Other employer,2012,2008,2010,Public Servant,A01-A04,Central Office,Finance,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,N,Female,21-25,N/A,N/A,N/A,N/A,N/A
206,Resignation-Other reasons,2012,2006,2006,Teacher Aide,,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,A,D,A,A,A,A,A,A,D,D,D,A,N,A,N,D,A,Female,36-40,N/A,N/A,N/A,N/A,N/A
207,Termination,2012,1970,2005,Public Servant,AO5-AO7,Central Office,Information and Technologies,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,SD,N,A,A,N,D,A,N,SD,A,A,N,D,A,D,D,D,N,A,Male,51-55,N/A,N/A,N/A,N/A,N/A
208,Ill Health Retirement,2012,Not Stated,Not Stated,Teacher,Special Education,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,N,D,N,D,N,D,D,A,A,A,A,D,A,D,SA,A,A,SA,,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
209,Age Retirement,2012,1993,1993,Teacher Aide,,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
210,Ill Health Retirement,2012,1996,2002,Teacher,Primary,Central Office,Early Childhood Education and Care,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,N,A,A,A,A,N,SA,SA,SA,A,N,A,A,N,SA,SA,SA,SA,SA,SA,Female,46-50,N/A,N/A,N/A,N/A,N/A
211,Resignation-Move overseas/interstate,2012,2007,2007,Professional Officer,PO1-PO4,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,N,A,A,N,A,A,A,A,A,A,A,SA,A,A,A,A,A,A,N,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
212,Voluntary Early Retirement (VER),2012,1986,1986,Teacher Aide,,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N/A,N,A,A,A,A,D,A,A,A,A,N/A,A,A,A,A,A,A,N,N,Female,61 or older,N/A,N/A,N/A,N/A,N/A
213,Resignation-Other reasons,2012,1986,1997,Teacher,Secondary,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,SA,SD,SA,SA,SA,SA,SA,N,D,D,N,SA,SA,N,SD,A,N,N,A,SA,Male,61 or older,N/A,N/A,N/A,N/A,N/A
214,Other,2012,Not Stated,Not Stated,Cleaner,,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,A,SA,A,A,A,A,A,SA,A,A,A,A,A,,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
215,Resignation-Other reasons,2012,1999,2011,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,D,A,A,A,A,A,D,A,A,A,N,D,A,D,A,A,A,A,N,N,Female,,N/A,N/A,N/A,N/A,N/A
216,Termination,2012,1987,2010,Public Servant,AO8 and Above,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,N,SA,A,N,A,A,N,A,A,A,A,A,N,A,A,N,A,A,Male,51-55,N/A,N/A,N/A,N/A,N/A
217,Age Retirement,2013,1979,1979,Teacher,Primary,North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,A,A,A,A,A,D,A,A,A,A,A,SA,A,A,A,A,A,A,A,A,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
218,Voluntary Early Retirement (VER),2013,1995,1995,Teacher,Secondary,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,A,A,A,A,A,A,N,A,A,A,A,A,A,A,A,Male,56-60,N/A,N/A,N/A,N/A,Yes
219,Age Retirement,2012,1999,1999,Teacher,Special Education,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
220,Age Retirement,2012,1999,1999,Teacher,Primary,Far North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,N,N,SD,N,A,D,SD,A,A,A,A,N/A,SD,N/A,D,N,A,A,D,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
221,Ill Health Retirement,2012,2007,2010,Cleaner,,Central Office,Education Queensland,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,N/A,D,D,D,A,N,D,A,D,D,D,N/A,N/A,N/A,A,A,A,A,A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
222,Age Retirement,2012,1977,1988,Teacher,Primary,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,D,N,D,N,D,D,D,A,D,D,A,SD,SD,D,A,D,D,D,SD,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
223,Contract Expired,2012,2011,2011,Public Servant,AO5-AO7,Central Office,Education Queensland,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,N,A,A,A,A,A,A,A,A,SA,A,A,A,N,N,N,Female,36-40,N/A,N/A,N/A,N/A,N/A
224,Resignation-Other reasons,2012,1996,2006,Teacher,Primary,Metropolitan,,Permanent Full-time,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,SD,SD,A,D,D,SD,D,SD,SD,SD,SD,SD,SD,SD,SD,SD,D,SD,SD,,51-55,N/A,N/A,N/A,N/A,N/A
225,Resignation-Other reasons,2012,2009,2009,Teacher,Secondary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,A,A,D,N,A,SD,SD,D,A,A,A,A,D,D,A,A,A,A,A,D,D,Female,36-40,N/A,N/A,N/A,N/A,N/A
226,Age Retirement,2012,1997,1997,Cleaner,,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N,D,N,N,N,N,N,N,N,N,N,D,N,N,N,N,N,N,N,D,D,Female,56-60,N/A,N/A,N/A,N/A,N/A
227,Contract Expired,2012,2010,2011,Public Servant,A01-A04,Central Office,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,D,A,A,SA,SA,SA,A,SA,A,A,N/A,D,A,D,A,A,A,A,D,D,Female,26-30,N/A,N/A,N/A,N/A,N/A
228,Voluntary Early Retirement (VER),2012,1992,2008,Public Servant,AO8 and Above,Central Office,Human Resources,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,D,N,N,A,N,D,A,N,A,A,N,A,N,N,N,A,A,A,A,D,D,Male,46-50,N/A,N/A,N/A,N/A,N/A
229,Resignation-Other reasons,2012,1994,2012,Cleaner,Primary,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,N/A,N,A,N,SD,D,SA,D,A,A,A,N/A,A,N/A,SA,A,A,A,A,SA,Male,56-60,N/A,N/A,N/A,N/A,N/A
230,Age Retirement,2012,2008,2012,Teacher,Secondary,Darling Downs South West,,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,N,D,A,N,D,N,A,A,SA,A,D,N,N,N,N,A,A,A,A,A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
231,Voluntary Early Retirement (VER),2012,1995,2012,Public Servant,AO5-AO7,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,SA,N,A,SA,A,A,A,SA,SA,SA,A,SA,SA,SA,N,A,A,N,SA,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
232,Voluntary Early Retirement (VER),2012,1970,2002,Public Servant,AO5-AO7,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,A,D,N,N,SA,A,A,N,A,A,A,A,D,D,A,A,A,N,N,N,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
233,Other,2012,1979,2005,Public Servant,A01-A04,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,SD,SD,M,N,N,N,SD,N,N,N,A,SD,SD,SD,N,N,N,N,A,N,Female,36-40,n/a,N/A,N/A,N/A,N/A
234,Voluntary Early Retirement (VER),2012,1985,1998,Public Servant,A01-A04,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,A,A,SA,SA,A,N,A,SA,SA,A,N,A,N,N,A,SA,SA,A,A,Female,46-50,N/A,N/A,N/A,N/A,N/A
235,Age Retirement,2012,2000,2000,Cleaner,,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N/A,A,A,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,A,A,A,A,N/A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
236,Resignation-Move overseas/interstate,2012,2009,2009,Technical Officer,,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SD,SD,A,D,D,D,N/A,D,A,SA,SA,N/A,N/A,N/A,SD,A,D,D,N,A,D,Female,21-25,N/A,N/A,N/A,N/A,N/A
237,Age Retirement,2012,1979,1979,Teacher,Secondary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,A,A,N,D,N,A,A,A,A,A,N,N,A,A,A,A,A,D,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
238,Age Retirement,2012,1994,1998,Cleaner,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,A,A,A,A,A,M,A,N,A,D,A,N,SD,SD,N,Male,61 or older,N/A,N/A,N/A,N/A,N/A
239,Voluntary Early Retirement (VER),2012,1976,2003,Public Servant,AO5-AO7,North Coast,Human Resources,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,SA,A,A,A,A,A,A,A,A,SA,SA,A,A,A,SA,SA,SA,SA,SA,SA,Male,51-55,N/A,N/A,N/A,N/A,N/A
240,Age Retirement,2012,1970,1995,Teacher,Primary,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,N,A,A,D,SD,N,A,A,A,A,A,N,N,N,D,D,A,A,D,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
241,Age Retirement,2013,1970,2001,School Principal,,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,N,A,N,A,D,A,N,A,SA,N,A,A,A,N,M,A,D,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
242,Ill Health Retirement,2012,1993,1993,Schools Officer,,South East,Pacific Pines SHS,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SD,SD,SD,SD,D,N,D,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,A,Male,56-60,N/A,N/A,N/A,Yes,N/A
243,Age Retirement,2013,1980,1995,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,N,A,N,A,D,N,N,A,A,N,D,D,N,A,A,A,A,A,A,Male,51-55,N/A,N/A,N/A,N/A,N/A
244,Age Retirement,2012,1981,1981,Teacher Aide,,Central Queensland,Calliope State School,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,A,A,A,A,A,M,M,M,A,A,A,A,A,A,M,Female,61 or older,N/A,N/A,N/A,N/A,N/A
245,Voluntary Early Retirement (VER),2012,1967,Not Stated,Public Servant,AO5-AO7,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,A,A,A,A,A,A,A,A,A,SD,A,A,A,N,A,A,A,A,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
246,Voluntary Early Retirement (VER),2012,1990,1992,Public Servant,A01-A04,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,A,A,A,A,A,A,N,N,A,N,A,N,N,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
247,Voluntary Early Retirement (VER),2012,1975,1988,Public Servant,A01-A04,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,SA,N,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,N,Female,51-55,N/A,N/A,N/A,N/A,Yes
248,Resignation-Move overseas/interstate,2013,2007,2007,"School Based Professional Staff (Therapist, nurse, etc)",PO1-PO4,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,A,D,D,A,A,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,Female,26-30,N/A,N/A,N/A,N/A,N/A
249,Resignation-Move overseas/interstate,2012,2011,2011,Teacher,Primary,Far North Queensland,,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,SD,D,SA,SA,N,SA,SA,A,SA,SA,SA,SA,SA,SA,N,SA,A,N,A,N,Male,31-35,N/A,N/A,N/A,N/A,N/A
250,Contract Expired,2012,2011,2012,Teacher Aide,,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,D,A,N,A,A,A,A,A,A,A,N,N,N,N,A,A,A,N,A,A,Female,46-50,Yes,N/A,N/A,N/A,N/A
