last_name,first_name,birthday,gender,type,state,party
Mitchell,James,,M,rep,PA,Jackson
Peter,George,1779-09-28,M,rep,MD,Jackson
Plumer,George,1762-12-05,M,rep,PA,Jackson
Poinsett,Joel,1779-03-02,M,rep,SC,
Porter,Timothy,1785-11-28,M,rep,NY,Adams
Powell,Alfred,1781-03-06,M,rep,VA,Adams
Rankin,Christopher,,M,rep,MS,Jackson
Ross,Henry,1790-05-09,M,rep,NY,Adams
Rowan,John,1773-07-12,M,sen,KY,Jackson
Sands,Joshua,1757-10-12,M,rep,NY,Adams
Scott,John,1785-05-18,M,rep,MO,Adams
Shannon,Thomas,1786-11-15,M,rep,OH,Adams
Smith,William,,M,rep,VA,Jackson
Taylor,Robert,1763-04-29,M,rep,VA,Adams
Ten Eyck,Egbert,1779-04-18,,rep,NY,Jackson
Thomson,Alexander,1788-01-12,M,rep,PA,Jackson
Trimble,David,,M,rep,KY,Adams
White,Bartow,1776-11-07,,rep,NY,Adams
Whitmore,Elias,1772-03-02,,rep,NY,Adams
Willey,Calvin,1776-09-15,,sen,CT,Adams
Wilson,Henry,,M,rep,PA,Jackson
Wilson,John,1773-08-11,M,rep,SC,Jackson
Worthington,Thomas,1782-11-25,M,rep,MD,Adams
Wurts,John,1792-08-13,M,rep,PA,Jackson
Bateman,Ephraim,1780-07-09,,sen,NJ,Adams
Harper,William,1790-01-17,M,sen,SC,Jackson
Pickens,Israel,1780-01-30,,sen,AL,Jackson
Rodney,Daniel,1764-09-10,M,sen,DE,Adams
Sanford,Nathan,1777-11-05,M,sen,NY,Adams
Smith,William,,M,sen,SC,Jackson
Addams,William,1777-04-11,M,rep,PA,Jackson
Allen,Samuel,1772-01-05,M,rep,MA,Adams
Anderson,Samuel,,M,rep,PA,Adams
Baldwin,John,1772-04-05,M,rep,CT,Adams
Barker,David,1797-01-08,M,rep,NH,Adams
Barlow,Stephen,1779-06-13,M,rep,PA,Jackson
Barnard,Isaac,1791-07-18,M,sen,PA,Jackson
Barney,John,1785-01-18,M,rep,MD,Adams
Bartlett,Ichabod,1786-07-24,,rep,NH,Adams
Bassett,Burwell,1764-03-18,,rep,VA,Jackson
Bates,Edward,1793-09-04,M,rep,MO,Adams
Beecher,Philemon,,,rep,OH,Adams
Belden,George,1797-03-28,M,rep,NY,Jackson
Blake,Thomas,1792-06-14,M,rep,IN,Adams
Brent,William,1784-02-20,M,rep,LA,Adams
Brown,Titus,1786-02-11,,rep,NH,Adams
Bryan,John,1798-11-04,M,rep,NC,Adams
Buck,Daniel,1789-04-19,M,rep,VT,Adams
Buckner,Richard,1763-07-16,M,rep,KY,Adams
Bunner,Rudolph,1779-08-17,,rep,NY,Jackson
Burleigh,William,1785-10-24,M,rep,ME,
Carter,John,1792-09-10,M,rep,SC,Jackson
Chase,Samuel,,M,rep,NY,Adams
Conway,Henry,1793-03-18,M,rep,AR,
Culpepper,John,,M,rep,NC,Adams
Davenport,John,1788-01-09,M,rep,OH,Adams
Eaton,John,1790-06-18,M,sen,TN,Jackson
Ellis,Powhatan,1790-01-17,,sen,MS,Jackson
Evans,David,1788-03-19,M,rep,NY,
Floyd,John,1769-10-03,M,rep,GA,Jackson
Floyd,John,1783-04-24,M,rep,VA,Jackson
Fort,Tomlinson,1787-07-14,,rep,GA,Jackson
Gale,Levin,1784-04-24,,rep,MD,Jackson
Garnsey,Daniel,1779-06-17,M,rep,NY,Adams
Garrow,Nathaniel,1780-04-25,M,rep,NY,Jackson
Haile,William,,M,rep,MS,Jackson
Hallock,John,,M,rep,NY,Jackson
Hamilton,James,1786-05-08,M,rep,SC,Jackson
Healy,Joseph,1776-08-21,M,rep,NH,Adams
Hobbie,Selah,1797-03-10,,rep,NY,Jackson
Holcombe,George,,M,rep,NJ,Jackson
Johnson,Jeromus,1775-11-02,,rep,NY,Jackson
Keese,Richard,1794-11-23,M,rep,NY,Jackson
Kremer,George,1775-11-21,M,rep,PA,Jackson
Leffler,Isaac,1788-11-07,M,rep,VA,Adams
Little,Peter,1775-12-11,M,rep,MD,Adams
Locke,John,1764-02-14,M,rep,MA,Adams
Long,John,1785-02-26,M,rep,NC,Adams
Marable,John,1786-11-18,M,rep,TN,Jackson
Markell,Henry,1792-02-07,M,rep,NY,Adams
McHatton,Robert,1788-11-17,M,rep,KY,Jackson
McKee,John,,M,rep,AL,Jackson
McLane,Louis,1786-05-28,M,sen,DE,Jackson
McLean,William,1794-08-10,M,rep,OH,Adams
Merwin,Orange,1777-04-07,,rep,CT,Adams
Miner,Charles,1780-02-01,M,rep,PA,Adams
Mitchell,James,,M,rep,TN,Jackson
Mitchell,John,1781-03-08,M,rep,PA,Jackson
Moore,Thomas,,M,rep,KY,Jackson
Muhlenberg,Francis,1795-04-22,,rep,OH,Adams
Noble,James,1785-12-16,M,sen,IN,Adams
O'Brien,Jeremiah,1778-01-21,M,rep,ME,Adams
Oakley,Thomas,1783-11-10,M,rep,NY,Jackson
Orr,Robert,1786-03-05,M,rep,PA,Jackson
Owen,George,1796-10-20,M,rep,AL,Jackson
Parris,Albion,1788-01-19,,sen,ME,Jackson
Phelps,Elisha,1779-11-16,,rep,CT,Adams
Plant,David,1783-03-29,M,rep,CT,Adams
Ridgely,Henry,1779-08-06,M,sen,DE,Jackson
Ruggles,Benjamin,1783-02-21,M,sen,OH,Adams
Sawyer,Lemuel,,,rep,NC,Jackson
Seymour,Horatio,1778-05-31,,sen,VT,Adams
Sinnickson,Thomas,1786-12-13,M,rep,NJ,Adams
Sloane,John,,M,rep,OH,Adams
Smith,Samuel,1752-07-27,M,sen,MD,Jackson
Stevenson,James,,M,rep,PA,Jackson
Stower,John,,M,rep,NY,Jackson
Taber,Thomas,1785-05-19,M,rep,NY,Jackson
Tattnall,Edward,,M,rep,GA,Jackson
Thompson,Hedge,1780-01-28,,rep,NJ,Adams
Tucker,Ebenezer,1758-11-15,M,rep,NJ,Adams
Turner,Daniel,1796-09-21,M,rep,NC,Jackson
Van Horne,Espy,1825-03-04,,rep,PA,Jackson
Van Rensselaer,Stephen,1764-11-01,M,rep,NY,Adams
Wales,George,1792-05-13,M,rep,VT,Adams
Weems,John,,M,rep,MD,Jackson
Whipple,Thomas,,M,rep,NH,Adams
Wilson,James,1779-04-28,M,rep,PA,Adams
Wilson,William,1773-03-19,M,rep,OH,
Wood,John,1784-02-16,M,rep,NY,Jackson
Wood,Silas,1769-09-14,,rep,NY,Adams
Woodcock,David,,M,rep,NY,Adams
Woods,John,1794-10-18,M,rep,OH,Adams
Wright,John,1783-08-17,M,rep,OH,Adams
Young,William,1790-04-10,M,rep,KY,
Burnet,Jacob,1770-02-22,M,sen,OH,Adams
Iredell,James,1788-11-02,M,sen,NC,Jackson
Prince,Oliver,,M,sen,GA,Jackson
Jackson,Andrew,1767-03-15,M,sen,TN,Democratic Republican
Alston,Willis,,,rep,NC,Jackson
Arnold,Benedict,1780-10-05,,rep,NY,
Bailey,John,,M,rep,MA,
Barbour,Philip,1783-05-25,M,rep,VA,Jackson
Bartley,Mordecai,1783-12-16,,rep,OH,
Baylor,Robert,1793-05-10,M,rep,AL,Jackson
Beekman,Thomas,,M,rep,NY,Anti-Jacksonian
Bell,Samuel,1770-02-09,M,sen,NH,
Bibb,George,1776-10-30,M,sen,KY,Jackson
Biddle,John,1792-03-02,M,rep,MI,
Borst,Peter,1797-04-24,M,rep,NY,Jackson
Brown,Elias,1793-05-09,,rep,MD,Jackson
Butman,Samuel,,M,rep,ME,
Clark,James,1779-01-16,M,rep,KY,Republican
Coleman,Nicholas,1800-04-22,M,rep,KY,Jackson
Cowles,Henry,1798-03-18,M,rep,NY,
Craig,Hector,,,rep,NY,Jackson
Crocheron,Jacob,1774-08-23,M,rep,NY,Jackson
Crowninshield,Benjamin,1772-12-27,M,rep,MA,
De Witt,Charles,1789-11-07,M,rep,NY,Jackson
Desha,Robert,1791-01-14,M,rep,TN,Jackson
Dickerson,Mahlon,1770-04-17,,sen,NJ,Jackson
Dickinson,John,1767-06-28,M,rep,NY,
Dorsey,Clement,,,rep,MD,
Dudley,Charles,1780-05-23,M,sen,NY,Jackson
Dudley,Edward,1789-12-15,M,rep,NC,Jackson
Dwight,Henry,1788-02-26,M,rep,MA,
Eager,Samuel,1789-04-08,M,rep,NY,
Earll,Jonas,,,rep,NY,Jackson
Finch,Isaac,1783-10-13,M,rep,NY,
Fisher,George,1788-03-17,M,rep,NY,
Forward,Chauncey,1793-02-04,,rep,PA,Jackson
Frelinghuysen,Theodore,1787-03-28,M,sen,NJ,Anti-Jacksonian
Fry,Joseph,1781-08-04,M,rep,PA,Jackson
Goodenow,John,,M,rep,OH,Jackson
Green,Innis,1776-02-26,,rep,PA,Jackson
Gurley,Henry,1788-05-20,M,rep,LA,
Halsey,Jehiel,1788-10-07,,rep,NY,Jackson
Harvey,Jonathan,1780-02-25,M,rep,NH,Jackson
Hawkins,Joseph,1781-11-14,M,rep,NY,Adams Democrat
Hayne,Robert,1791-11-10,M,sen,SC,Nullifier
Hemphill,Joseph,1770-01-07,M,rep,PA,Jackson
Hinds,Thomas,1780-01-09,M,rep,MS,Jackson
Holmes,Gabriel,,,rep,NC,
Holmes,John,1773-03-14,M,sen,ME,Democratic Republican
Ingham,Samuel,1779-09-16,M,rep,PA,Jackson
Irwin,Thomas,1785-02-22,M,rep,PA,Jackson
Jennings,Jonathan,,M,rep,IN,
Johns,Kensey,1791-12-10,,rep,DE,
Kincaid,John,1791-02-15,M,rep,KY,Jackson
King,Perkins,1784-01-12,,rep,NY,Jackson
Lea,Pryor,1794-08-31,,rep,TN,Jackson
Leiper,George,1786-02-03,M,rep,PA,Jackson
Livingston,Edward,1764-05-28,M,sen,LA,Jackson
Magee,John,1794-09-03,M,rep,NY,Jackson
Marr,Alem,1787-06-18,,rep,PA,Jackson
Martin,William,1789-10-20,M,rep,SC,Jackson
Maxwell,Thomas,1792-02-16,M,rep,NY,Jackson
McCreery,William,1786-05-17,M,rep,PA,Jackson
McLean,John,1791-02-04,M,sen,IL,Jackson
Miller,Daniel,,M,rep,PA,Jackson
Monell,Robert,,M,rep,NY,Jackson
Norton,Ebenezer,1774-11-07,M,rep,NY,Jackson
Overton,Walter,,M,rep,LA,Jackson
Pettis,Spencer,,,rep,MO,Jackson
Pierson,Isaac,1770-08-15,M,rep,NJ,
Powers,Gershom,1789-07-11,,rep,NY,Jackson
Reed,Thomas,1787-05-07,M,sen,MS,
Richardson,Joseph,1778-02-01,M,rep,MA,
Ripley,James,1786-03-12,M,rep,ME,Jackson
Rose,Robert,1774-02-24,M,rep,NY,Anti Masonic
Sanford,Jonah,1790-11-30,,rep,NY,Jackson
Scott,John,1784-12-25,M,rep,PA,Jackson
Shields,James,1762-04-13,M,rep,OH,Jackson
Sill,Thomas,1783-10-11,M,rep,PA,
Silsbee,Nathaniel,1773-01-14,M,sen,MA,Adams
Smyth,Alexander,,M,rep,VA,Jackson
Spencer,Ambrose,1765-12-13,,rep,NY,
Spencer,Richard,1796-10-29,M,rep,MD,Jackson
Sprague,Peleg,1793-04-27,,sen,ME,Anti-Jacksonian
Sprigg,Michael,1791-07-01,M,rep,MD,Jackson
Sterigere,John,1793-07-31,M,rep,PA,Jackson
Storrs,Henry,1787-09-03,M,rep,NY,Federalist
Strong,James,,M,rep,NY,
Swan,Samuel,,M,rep,NJ,
Tazewell,Littleton,1774-12-17,,sen,VA,Jackson
Test,John,1771-11-12,M,rep,IN,
Trezvant,James,,M,rep,VA,Jackson
Troup,George,1780-09-08,M,sen,GA,Jackson
Tucker,Starling,,,rep,SC,Jackson
Varnum,John,1778-06-25,M,rep,MA,
Wilson,Ephraim,1771-09-15,,rep,MD,Jackson
Wingate,Joseph,1786-06-29,M,rep,ME,
Wolf,George,1777-08-12,M,rep,PA,Jackson
Yancey,Joel,1773-10-21,M,rep,KY,Jackson
Adams,Robert,,M,sen,MS,Jackson
Baker,David,1792-09-07,M,sen,IL,Jackson
Poindexter,George,,M,sen,MS,Jackson
Adair,John,1757-01-09,M,rep,KY,Jackson
Alexander,Mark,1792-02-07,M,rep,VA,Jackson
Allen,Robert,1794-07-30,M,rep,VA,Jackson
Allison,Robert,1777-03-10,M,rep,PA,Anti Masonic
Anderson,John,1792-07-30,M,rep,ME,Jackson
Angel,William,1790-07-17,M,rep,NY,Jackson
Armstrong,William,1782-12-23,M,rep,VA,
Babcock,William,,M,rep,NY,Anti Masonic
Barbour,John,1790-08-08,M,rep,VA,Jackson
Barstow,Gamaliel,1784-07-20,,rep,NY,Anti Masonic
Bates,James,1789-09-24,M,rep,ME,Jackson
Bergen,John,,M,rep,NY,Jackson
Bethune,Lauchlin,1785-04-15,,rep,NC,Jackson
Bouck,Joseph,1788-07-22,M,rep,NY,Jackson
Branch,John,1782-11-04,M,rep,NC,Jackson
Brodhead,John,1770-10-05,M,rep,NH,Jackson
Bucher,John,1792-12-28,M,rep,PA,Jackson
Buckner,Alexander,,M,sen,MO,Jackson
Cahoon,William,1774-01-12,M,rep,VT,Anti Masonic
Carson,Samuel,1798-01-22,M,rep,NC,Jackson
Chambers,Ezekiel,1788-02-28,,sen,MD,Adams
Chandler,Thomas,1772-08-10,M,rep,NH,Jackson
Coke,Richard,1790-11-16,M,rep,VA,Jackson
Collier,John,1787-11-13,M,rep,NY,Anti Masonic
Condict,Lewis,1772-03-03,M,rep,NJ,Republican
Condit,Silas,1778-08-18,,rep,NJ,Anti Jacksonian
Cooke,Bates,1787-12-23,,rep,NY,Anti Masonic
Cooke,Eleutheros,1787-12-25,,rep,OH,Anti Jacksonian
Cooper,Richard,1768-02-29,M,rep,NJ,
Crawford,Thomas,1786-11-14,M,rep,PA,Jackson
Creighton,William,1778-10-29,M,rep,OH,Republican
Dallas,George,1792-07-10,M,sen,PA,Jackson
Daniel,Henry,1786-03-15,M,rep,KY,Jackson
Dayan,Charles,1792-07-08,M,rep,NY,Jackson
Dearborn,Henry,1783-03-03,M,rep,MA,Anti Jacksonian
Dewart,Lewis,1780-11-14,M,rep,PA,Jackson
Doddridge,Philip,1773-05-17,M,rep,VA,
Draper,Joseph,1794-12-25,M,rep,VA,Jackson
Drayton,William,1776-12-30,M,rep,SC,Jackson
Evans,Joshua,1777-01-20,M,rep,PA,Jackson
Findlay,James,1770-10-12,M,rep,OH,Jackson
Fitzgerald,William,1799-08-06,M,rep,TN,Jackson
Ford,James,1783-05-04,M,rep,PA,Jackson
Forsyth,John,1780-10-22,M,sen,GA,Jackson
Gaither,Nathan,1788-09-15,M,rep,KY,Jackson
Gilmore,John,1780-02-18,M,rep,PA,Jackson
Hall,William,1775-02-11,M,rep,TN,Jackson
Hammons,Joseph,1787-03-03,M,rep,NH,Jackson
Hanna,Robert,1786-04-06,M,sen,IN,Anti-Jacksonian
Hendricks,William,1782-11-12,M,sen,IN,Adams
Hill,Isaac,1789-04-06,M,sen,NH,Jackson
Hodges,James,1790-04-24,M,rep,MA,
Hoffman,Michael,1787-10-11,M,rep,NY,Jackson
Hogan,William,1792-07-17,M,rep,NY,Jackson
Holland,Cornelius,1783-07-09,M,rep,ME,Jackson
Horn,Henry,,M,rep,PA,Jackson
Hughes,Thomas,1769-01-10,M,rep,NJ,
Hunt,Jonathan,1787-08-12,M,rep,VT,
Ihrie,Peter,1796-02-03,M,rep,PA,Jackson
Ingersoll,Ralph,1789-02-08,M,rep,CT,
Irvin,William,1779-04-05,M,rep,OH,Jackson
Isacks,Jacob,,M,rep,TN,Jackson
Jewett,Freeborn,1791-08-04,,rep,NY,Jackson
Johnston,Charles,1795-04-30,M,rep,VA,Jackson
Johnston,Josiah,1784-11-24,M,sen,LA,
Kane,Elias,1794-06-07,,sen,IL,Jackson
Kendall,Joseph,1788-10-27,M,rep,MA,
King,Adam,1783-01-20,M,rep,PA,Jackson
King,John,,M,rep,NY,Jackson
Lamar,Henry,1798-07-10,M,rep,GA,Jackson
Lecompte,Joseph,1797-12-15,M,rep,KY,Jackson
Lent,James,,M,rep,NY,Jackson
Mallary,Rollin,1784-05-27,,rep,VT,
Marcy,William,1786-12-12,M,sen,NY,Jackson
Maxwell,Lewis,1790-04-17,M,rep,VA,Anti Jacksonian
McCoy,Robert,,M,rep,PA,Jackson
McCoy,William,,M,rep,VA,Jackson
Miller,Stephen,1787-05-08,M,sen,SC,Nullifier
Mitchell,George,1781-03-03,M,rep,MD,Jackson
Mitchell,Thomas,,M,rep,SC,Jackson
Moore,Gabriel,,,sen,AL,Jackson
Nelson,Jeremiah,1769-09-14,M,rep,MA,Anti Jacksonian
Newnan,Daniel,,M,rep,GA,Jackson
Newton,Thomas,1768-11-21,M,rep,VA,Republican
Nuckolls,William,1801-02-23,M,rep,SC,Jackson
Pendleton,Edmund,,M,rep,NY,Anti Jacksonian
Pitcher,Nathaniel,1777-11-30,M,rep,NY,Jackson
Potter,Robert,,M,rep,NC,Jacksonian
Ramsey,William,1779-09-07,M,rep,PA,Jacksonian
Randolph,James,1791-06-26,M,rep,NJ,
Reed,Edward,1793-03-08,M,rep,NY,Jackson
Roane,John,1794-10-31,M,rep,VA,Jackson
Root,Erastus,1773-03-16,,rep,NY,Jackson
Semmes,Benedict,1789-11-01,,rep,MD,
Smith,Samuel,,M,rep,PA,Jackson
Soule,Nathan,,M,rep,NY,Jackson
Southard,Isaac,1783-08-30,M,rep,NJ,Anti Jacksonian
Stanbery,William,1788-08-10,M,rep,OH,Anti Jacksonian
Stephens,Philander,,,rep,PA,Jackson
Taylor,John,1784-03-26,M,rep,NY,Republican
Thompson,Wiley,1781-09-23,,rep,GA,Jackson
Tomlinson,Gideon,1780-12-31,,sen,CT,Anti-Jacksonian
Tracy,Phineas,1786-12-25,,rep,NY,Anti Masonic
Verplanck,Gulian,1786-08-06,,rep,NY,Jackson
Waggaman,George,,M,sen,LA,Anti-Jacksonian
Weeks,John,1781-03-31,M,rep,NH,Jackson
Wheeler,Grattan,1783-08-25,,rep,NY,Anti Masonic
Wilkin,Samuel,1793-12-17,M,rep,NY,Anti Jacksonian
Wing,Austin,1792-02-03,,rep,MI,
Tipton,John,1786-08-14,M,sen,IN,Democrat
Black,John,,M,sen,MS,Whig
Adams,John,1778-08-26,M,rep,NY,Jackson
Allen,John,1797-09-25,M,rep,VA,Anti Jacksonian
Barber,Noyes,1781-04-28,,rep,CT,
Barnitz,Charles,1780-09-11,M,rep,PA,Anti Masonic
Barringer,Daniel,1788-10-01,M,rep,NC,
Baylies,William,1776-09-15,M,rep,MA,Anti Jacksonian
Beaty,Martin,1784-10-08,M,rep,KY,Anti Jackson
Bell,James,1796-10-16,M,rep,OH,Anti Jacksonian
Binney,Horace,1780-01-04,,rep,PA,Anti Jacksonian
Blair,James,,M,rep,SC,Jackson
Blair,John,1790-09-13,M,rep,TN,Jackson
Bodle,Charles,,M,rep,NY,Jackson
Bouldin,Thomas,,M,rep,VA,Jackson
Bull,John,,M,rep,MO,
Burd,George,,M,rep,PA,
Burges,Tristam,1770-02-26,,rep,RI,Anti Jacksonian
Cage,Harry,,M,rep,MS,Jackson
Carmichael,Richard,1807-12-25,M,rep,MD,Jackson
Chilton,Thomas,1798-07-30,M,rep,KY,Anti Jacksonian
Chinn,Joseph,1798-11-16,M,rep,VA,Jackson
Clayton,Augustin,1783-11-27,,rep,GA,Jackson
Coulter,Richard,,M,rep,PA,Jackson
Crockett,David,1786-08-17,M,rep,TN,Anti Jacksonian
Davenport,Thomas,,M,rep,VA,Anti-Jacksonian
Davis,Amos,1794-08-15,,rep,KY,Anti Jacksonian
Day,Rowland,1779-03-06,,rep,NY,Jackson
Deming,Benjamin,,M,rep,VT,Anti Masonic
Dennis,Littleton,1786-07-21,,rep,MD,Anti Jacksonian
Dickson,John,1783-06-01,M,rep,NY,Anti Masonic
Duncan,Joseph,1794-02-22,M,rep,IL,Jackson
Ellsworth,William,1791-11-10,M,rep,CT,
Felder,John,1782-07-07,M,rep,SC,Nullifier
Foot,Samuel,1780-11-08,M,rep,CT,Anti-Jacksonian
Foote,Samuel,,M,rep,CT,Anti-Jacksonian
Fulton,John,,M,rep,VA,Jackson
Gholson,James,,M,rep,VA,Anti Jacksonian
Gilmer,George,1790-04-11,M,rep,GA,Jackson
Gordon,William,1787-01-13,M,rep,VA,Jackson
Gorham,Benjamin,1775-02-13,M,rep,MA,Anti Jacksonian
Hall,Thomas,,M,rep,NC,Jackson
Halsey,Nicoll,1782-03-08,,rep,NY,Jackson
Harper,Joseph,1787-06-21,M,rep,NH,Jackson
Hathaway,Samuel,1780-07-18,M,rep,NY,Jackson
Heath,James,1777-12-21,M,rep,MD,Jackson
Howell,Edward,1792-10-16,M,rep,NY,Jackson
Inge,William,,M,rep,TN,Jackson
Jackson,Ebenezer,1796-01-31,M,rep,CT,
Johnson,Noadiah,,,rep,NY,Jackson
Kavanagh,Edward,1795-04-27,M,rep,ME,Jackson
Kent,Joseph,1779-01-14,M,sen,MD,Whig
King,Henry,1790-07-06,M,rep,PA,Jackson
Lawrence,Cornelius,1791-02-28,M,rep,NY,Jackson
Leavitt,Humphrey,1796-06-18,,rep,OH,Jackson
Letcher,Robert,1788-02-10,M,rep,KY,
Love,James,1795-05-12,M,rep,KY,Anti Jacksonian
Lyon,Chittenden,1787-02-22,,rep,KY,Jackson
Lytle,Robert,1804-05-19,M,rep,OH,Jackson
Mann,Joel,1780-08-01,M,rep,PA,Jackson
Mardis,Samuel,1800-06-12,M,rep,AL,Jackson
Marshall,Thomas,1794-01-15,M,rep,KY,Anti Jacksonian
Martindale,Henry,1780-05-06,M,rep,NY,Anti Masonic
McIntire,Rufus,1784-12-19,M,rep,ME,Jackson
McKean,Samuel,1787-04-07,M,sen,PA,Democrat
McVean,Charles,,M,rep,NY,Jackson
Miner,Phineas,1777-11-27,,rep,CT,
Mitchell,Henry,,M,rep,NY,Jackson
Mitchell,Robert,,M,rep,OH,Jackson
Moore,Samuel,1796-02-09,M,rep,VA,Anti Jacksonian
Morgan,John,,M,rep,NY,Jackson
Morris,Thomas,1776-01-03,M,sen,OH,Democrat
Murphy,John,,M,rep,AL,Jackson
Naudain,Arnold,1790-01-06,,sen,DE,
Osgood,Gayton,1797-07-04,,rep,MA,Jackson
Pierson,Job,1791-09-23,,rep,NY,Jackson
Plummer,Franklin,,M,rep,MS,Jackson
Pope,Patrick,1806-03-17,M,rep,KY,Jackson
Porter,Alexander,1785-06-24,M,sen,LA,Anti-Jacksonian
Randolph,John,1773-06-02,M,rep,VA,
Robbins,Asher,1761-10-26,,sen,RI,Whig
Selden,Dudley,,M,rep,NY,Jackson
Shepley,Ether,1789-11-02,,sen,ME,Jackson
Singleton,Thomas,,M,rep,SC,Nullifier
Slade,Charles,,M,rep,IL,Jackson
Smith,Nathan,1770-01-08,M,sen,CT,Anti-Jacksonian
Stevenson,Andrew,1784-01-21,M,rep,VA,Jackson
Stoddert,John,1790-10-01,M,rep,MD,Jackson
Swift,Benjamin,1781-04-03,M,sen,VT,Whig
Taylor,William,,M,rep,VA,Anti-Jacksonian
Thomas,Philemon,1763-02-09,,rep,LA,
Tompkins,Christopher,1780-03-24,M,rep,KY,Anti Jacksonian
Tweedy,Samuel,1776-03-08,M,rep,CT,Anti Jacksonian
Van Houten,Isaac,1776-06-04,M,rep,NY,Jackson
Watmough,John,1793-12-06,M,rep,PA,Anti Jacksonian
Whallon,Reuben,1776-12-07,M,rep,NY,Jackson
Whittlesey,Frederick,1799-06-12,M,rep,NY,Anti Masonic
Wilde,Richard,1789-09-24,M,rep,GA,Jackson
Wilson,Edgar,1800-10-18,M,rep,VA,Anti Jacksonian
Young,Ebenezer,1783-12-25,M,rep,CT,
Leigh,Benjamin,1781-06-18,M,sen,VA,Anti-Jacksonian
Allan,Chilton,1786-04-06,,rep,KY,Whig
Anthony,Joseph,1795-06-19,M,rep,PA,Jackson
Ash,Michael,1789-03-05,M,rep,PA,Jackson
Ashley,William,,M,rep,MO,Jacksonian
Bailey,Jeremiah,1773-05-01,M,rep,ME,Whig
Banks,John,1793-10-17,M,rep,PA,Anti Masonic
Barton,Samuel,1785-07-27,M,rep,NY,Jackson
Bean,Benning,1782-01-09,,rep,NH,Jackson
Beaumont,Andrew,1790-01-24,M,rep,PA,Jackson
Bockee,Abraham,1784-02-03,M,rep,NY,Jackson
Bovee,Matthias,1793-07-24,,rep,NY,Jackson
Brown,Bedford,1795-06-06,,sen,NC,Democrat
Brown,John,1796-10-11,M,rep,NY,Jackson
Bunch,Samuel,1786-12-04,M,rep,TN,Jacksonian
Burns,Robert,1792-12-12,M,rep,NH,Jackson
Campbell,Robert,,M,rep,SC,Nullifier
Chambers,George,1786-02-24,M,rep,PA,Anti Masonic
Chapin,Graham,1799-02-10,,rep,NY,Jackson
Chetwood,William,1771-06-17,M,rep,NJ,Whig
Claiborne,Nathaniel,1777-11-14,M,rep,VA,Anti Jacksonian
Clark,William,1774-02-18,M,rep,PA,Anti Masonic
Coffee,John,1782-12-03,M,rep,GA,Jackson
Cramer,John,1779-05-17,M,rep,NY,Jackson
Crane,Joseph,1782-08-31,M,rep,OH,Whig
Davis,Warren,1793-05-08,M,rep,SC,Nullifier
Denny,Harmar,1794-05-13,,rep,PA,Anti Masonic
Dickson,David,,M,rep,MS,Anti-Jacksonian
Doubleday,Ulysses,1792-12-15,,rep,NY,Jackson
Dunlap,William,1798-02-25,M,rep,TN,Jackson
Efner,Valentine,1776-05-05,,rep,NY,Jackson
Ewing,William,1795-08-31,M,sen,IL,Jackson
Farlin,Dudley,1777-09-02,M,rep,NY,Jackson
Forester,John,,M,rep,TN,Anti-Jacksonian
Fowler,Samuel,1779-10-30,M,rep,NJ,Jackson
Fuller,Philo,1787-08-14,,rep,NY,Whig
Fuller,William,1792-11-24,M,rep,NY,Jackson
Gillet,Ransom,1800-01-27,,rep,NY,Jackson
Goldsborough,Robert,1779-01-04,M,sen,MD,Whig
Grayson,William,1788-11-02,M,rep,SC,Nullifier
Hall,Joseph,1793-06-26,M,rep,ME,Jackson
Hard,Gideon,1797-04-29,,rep,NY,Whig
Hardin,Benjamin,1784-02-29,M,rep,KY,Whig
Harper,James,1780-03-28,M,rep,PA,Whig
Harrison,Samuel,,M,rep,PA,Jackson
Hawes,Albert,1804-04-01,M,rep,KY,Jackson
Hazeltine,Abner,1793-06-10,,rep,NY,Whig
Henderson,Joseph,1791-08-02,M,rep,PA,Jackson
Hiester,William,1790-10-10,M,rep,PA,Anti Masonic
Hoar,Samuel,1778-05-18,M,rep,MA,Whig
Howell,Elias,,,rep,OH,Whig
Hubbard,Henry,1784-05-03,M,sen,NH,Democrat
Huntington,Abel,1777-02-21,,rep,NY,Jackson
Huntsman,Adam,1786-02-11,M,rep,TN,Jackson
Jackson,William,1783-09-02,M,rep,MA,Anti Masonic
Janes,Henry,1792-10-10,M,rep,VT,Anti Masonic
Jarvis,Leonard,1781-10-19,M,rep,ME,Jackson
Johnson,Richard,1780-10-17,M,rep,KY,Jackson
Jones,Benjamin,1787-04-13,M,rep,OH,Jackson
Judson,Andrew,1784-11-29,M,rep,CT,Jackson
Kennon,William,1793-05-14,M,rep,OH,Jackson
King,John,1799-04-03,M,sen,GA,Democrat
Kinnard,George,,M,rep,IN,Jackson
Knight,Nehemiah,1780-12-31,,sen,RI,Whig
Lane,Amos,1778-03-01,,rep,IN,Jackson
Lansing,Gerrit,1783-08-04,,rep,NY,Jackson
Laporte,John,1798-11-04,M,rep,PA,Jackson
Lay,George,1798-07-26,M,rep,NY,Whig
Lea,Luke,1783-01-21,,rep,TN,Jacksonian
Lee,Gideon,1778-04-27,,rep,NY,Jackson
Lee,Joshua,,M,rep,NY,Jackson
Lee,Thomas,1780-11-28,M,rep,NJ,Jackson
Love,Thomas,1789-11-30,M,rep,NY,Whig
Loyall,George,1789-05-29,M,rep,VA,Jackson
