Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2004,92,69,75,21,22.8,30.4,0,0,0,21,22.8,30.4,48,52.2,69.599999999999994,14,15.2,7,7.6
Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2005,83,64,77.099999999999994,24,28.9,37.5,0,0,0,24,28.9,37.5,40,48.2,62.5,5,6,10,12
Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2006,108,59,54.6,32,29.6,54.2,0,0,0,32,29.6,54.2,27,25,45.8,31,28.7,10,9.300000000000001
Total Cohort,09X404,SCHOOL FOR EXCELLENCE,2006 Aug,108,65,60.2,32,29.6,49.2,0,0,0,32,29.6,49.2,33,30.6,50.8,25,23.1,10,9.300000000000001
Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2001,7,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2002,71,37,52.1,27,38,73,8,11.3,21.6,19,26.8,51.4,10,14.1,27,25,35.200000000000003,8,11.3
Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2003,112,22,19.600000000000001,15,13.4,68.2,7,6.3,31.8,8,7.1,36.4,7,6.3,31.8,56,50,26,23.2
Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2004,108,49,45.4,41,38,83.7,13,12,26.5,28,25.9,57.1,8,7.4,16.3,39,36.1,18,16.7
Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2005,102,66,64.7,48,47.1,72.7,20,19.600000000000001,30.3,28,27.5,42.4,18,17.600000000000001,27.3,2,2,28,27.5
Total Cohort,18K589,ARTS & MEDIA PREPARATORY ACADEMY,2006 Aug,4,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2006,110,54,49.1,38,34.5,70.400000000000006,13,11.8,24.1,25,22.7,46.3,16,14.5,29.6,37,33.6,18,16.399999999999999
Total Cohort,09X412,BRONX HIGH SCHOOL OF BUSINESS,2006 Aug,110,58,52.7,40,36.4,69,13,11.8,22.4,27,24.5,46.6,18,16.399999999999999,31,33,30,18,16.399999999999999
Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2002,65,45,69.2,15,23.1,33.299999999999997,0,0,0,15,23.1,33.299999999999997,30,46.2,66.7,12,18.5,6,9.199999999999999
Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2003,131,97,74,55,42,56.7,0,0,0,55,42,56.7,42,32.1,43.3,20,15.3,13,9.9
Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2004,84,70,83.3,56,66.7,80,14,16.7,20,42,50,60,14,16.7,20,12,14.3,2,2.4
Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2005,72,69,95.8,60,83.3,87,20,27.8,29,40,55.6,58,9,12.5,13,1,1.4,1,1.4
Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2006,103,86,83.5,73,70.900000000000006,84.9,25,24.3,29.1,48,46.6,55.8,13,12.6,15.1,15,14.6,1,1
Total Cohort,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2006 Aug,103,87,84.5,73,70.900000000000006,83.9,25,24.3,28.7,48,46.6,55.2,14,13.6,16.100000000000001,14,13.6,1,1
Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2001,6,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2002,55,35,63.6,15,27.3,42.9,0,0,0,15,27.3,42.9,21,38.200000000000003,60,14,25.5,5,9.1
Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2003,76,24,31.6,15,19.7,62.5,0,0,0,15,19.7,62.5,9,11.8,37.5,31,40.799999999999997,18,23.7
Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2004,73,42,57.5,25,34.200000000000003,59.5,0,0,0,25,34.200000000000003,59.5,17,23.3,40.5,25,34.200000000000003,3,4.1
Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2005,62,48,77.400000000000006,30,48.4,62.5,0,0,0,30,48.4,62.5,18,29,37.5,5,8.1,2,3.2
Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2006,123,56,45.5,38,30.9,67.900000000000006,1,0.8,1.8,37,30.1,66.099999999999994,18,14.6,32.1,51,41.5,5,4.1
Total Cohort,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2006 Aug,123,62,50.4,43,35,69.400000000000006,1,0.8,1.6,42,34.1,67.7,19,15.4,30.6,45,36.6,5,4.1
Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2001,43,29,67.400000000000006,18,41.9,62.1,1,2.3,3.4,17,39.5,58.6,11,25.6,37.9,8,18.600000000000001,3,7
Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2002,72,45,62.5,32,44.4,71.099999999999994,2,2.8,4.4,30,41.7,66.7,13,18.100000000000001,28.9,12,16.7,12,16.7
Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2003,115,79,68.7,41,35.700000000000003,51.9,6,5.2,7.6,35,30.4,44.3,38,33,48.1,22,19.100000000000001,9,7.8
Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2004,127,87,68.5,60,47.2,69,5,3.9,5.7,55,43.3,63.2,27,21.3,31,23,18.100000000000001,15,11.8
Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2005,98,66,67.3,45,45.9,68.2,4,4.1,6.1,41,41.8,62.1,21,21.4,31.8,24,24.5,5,5.1
Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2006,122,94,77,70,57.4,74.5,4,3.3,4.3,66,54.1,70.2,24,19.7,25.5,17,13.9,5,4.1
Total Cohort,09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2006 Aug,122,101,82.8,75,61.5,74.3,4,3.3,4,71,58.2,70.3,26,21.3,25.7,10,8.199999999999999,5,4.1
Total Cohort,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2004,66,58,87.9,37,56.1,63.8,1,1.5,1.7,36,54.5,62.1,21,31.8,36.200000000000003,5,7.6,3,4.5
Total Cohort,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2005,69,53,76.8,32,46.4,60.4,1,1.4,1.9,31,44.9,58.5,21,30.4,39.6,14,20.3,1,1.4
Total Cohort,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2006,87,68,78.2,45,51.7,66.2,0,0,0,45,51.7,66.2,23,26.4,33.799999999999997,16,18.399999999999999,1,1.1
Total Cohort,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2006 Aug,87,71,81.599999999999994,45,51.7,63.4,0,0,0,45,51.7,63.4,26,29.9,36.6,13,14.9,1,1.1
Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2001,136,103,75.7,1,0.7,1,1,0.7,1,0,0,0,102,75,99,15,11,11,8.1
Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2002,145,99,68.3,50,34.5,50.5,4,2.8,4,46,31.7,46.5,49,33.799999999999997,49.5,25,17.2,17,11.7
Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2003,179,110,61.5,59,33,53.6,3,1.7,2.7,56,31.3,50.9,51,28.5,46.4,42,23.5,20,11.2
Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2004,143,89,62.2,57,39.9,64,3,2.1,3.4,54,37.799999999999997,60.7,32,22.4,36,35,24.5,13,9.1
Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2005,156,94,60.3,59,37.799999999999997,62.8,13,8.300000000000001,13.8,46,29.5,48.9,35,22.4,37.200000000000003,38,24.4,14,9
Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2006,178,122,68.5,94,52.8,77,16,9,13.1,78,43.8,63.9,28,15.7,23,16,9,33,18.5
Total Cohort,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2006 Aug,178,127,71.3,97,54.5,76.400000000000006,16,9,12.6,81,45.5,63.8,30,16.899999999999999,23.6,12,6.7,32,18
Total Cohort,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,2006,2,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2002,44,29,65.900000000000006,7,15.9,24.1,0,0,0,7,15.9,24.1,22,50,75.900000000000006,10,22.7,2,4.5
Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2003,47,31,66,22,46.8,71,0,0,0,22,46.8,71,9,19.100000000000001,29,10,21.3,5,10.6
Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2004,48,38,79.2,17,35.4,44.7,0,0,0,17,35.4,44.7,21,43.8,55.3,7,14.6,3,6.3
Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2005,39,32,82.1,26,66.7,81.3,2,5.1,6.3,24,61.5,75,6,15.4,18.8,1,2.6,5,12.8
Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2006,47,37,78.7,32,68.099999999999994,86.5,6,12.8,16.2,26,55.3,70.3,5,10.6,13.5,7,14.9,2,4.3
Total Cohort,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2006 Aug,47,39,83,32,68.099999999999994,82.1,6,12.8,15.4,26,55.3,66.7,7,14.9,17.899999999999999,5,10.6,2,4.3
Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2001,89,70,78.7,35,39.299999999999997,50,0,0,0,35,39.299999999999997,50,35,39.299999999999997,50,17,19.100000000000001,2,2.2
Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2002,130,106,81.5,47,36.200000000000003,44.3,9,6.9,8.5,38,29.2,35.799999999999997,59,45.4,55.7,20,15.4,3,2.3
Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2003,93,79,84.9,61,65.599999999999994,77.2,15,16.100000000000001,19,46,49.5,58.2,18,19.399999999999999,22.8,9,9.699999999999999,2,2.2
Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2004,140,114,81.400000000000006,86,61.4,75.400000000000006,25,17.899999999999999,21.9,61,43.6,53.5,28,20,24.6,20,14.3,4,2.9
Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2005,135,105,77.8,78,57.8,74.3,17,12.6,16.2,61,45.2,58.1,27,20,25.7,22,16.3,6,4.4
Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2006,135,117,86.7,104,77,88.9,18,13.3,15.4,86,63.7,73.5,13,9.6,11.1,12,8.9,5,3.7
Total Cohort,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2006 Aug,135,121,89.6,107,79.3,88.4,18,13.3,14.9,89,65.900000000000006,73.599999999999994,14,10.4,11.6,8,5.9,5,3.7
Total Cohort,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2003,2,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2004,62,55,88.7,54,87.1,98.2,7,11.3,12.7,47,75.8,85.5,1,1.6,1.8,1,1.6,2,3.2
Total Cohort,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2005,76,57,75,43,56.6,75.400000000000006,22,28.9,38.6,21,27.6,36.799999999999997,14,18.399999999999999,24.6,6,7.9,9,11.8
Total Cohort,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2006,73,55,75.3,44,60.3,80,11,15.1,20,33,45.2,60,11,15.1,20,12,16.399999999999999,4,5.5
Total Cohort,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2006 Aug,73,60,82.2,45,61.6,75,11,15.1,18.3,34,46.6,56.7,15,20.5,25,7,9.6,4,5.5
Total Cohort,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,2005,71,65,91.5,53,74.599999999999994,81.5,4,5.6,6.2,49,69,75.400000000000006,12,16.899999999999999,18.5,5,7,1,1.4
Total Cohort,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,2006,62,58,93.5,49,79,84.5,13,21,22.4,36,58.1,62.1,9,14.5,15.5,3,4.8,1,1.6
Total Cohort,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,2006 Aug,62,58,93.5,49,79,84.5,13,21,22.4,36,58.1,62.1,9,14.5,15.5,3,4.8,1,1.6
Total Cohort,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2004,82,73,89,55,67.099999999999994,75.3,0,0,0,55,67.099999999999994,75.3,18,22,24.7,8,9.800000000000001,1,1.2
Total Cohort,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2005,72,65,90.3,49,68.099999999999994,75.400000000000006,1,1.4,1.5,48,66.7,73.8,16,22.2,24.6,4,5.6,2,2.8
Total Cohort,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2006,67,49,73.099999999999994,36,53.7,73.5,0,0,0,36,53.7,73.5,13,19.399999999999999,26.5,15,22.4,3,4.5
Total Cohort,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2006 Aug,67,52,77.599999999999994,38,56.7,73.099999999999994,0,0,0,38,56.7,73.099999999999994,14,20.9,26.9,12,17.899999999999999,3,4.5
Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2003,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2004,73,21,28.8,9,12.3,42.9,0,0,0,9,12.3,42.9,12,16.399999999999999,57.1,35,47.9,16,21.9
Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2005,72,37,51.4,15,20.8,40.5,0,0,0,15,20.8,40.5,22,30.6,59.5,22,30.6,8,11.1
Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2006,72,35,48.6,28,38.9,80,2,2.8,5.7,26,36.1,74.3,7,9.699999999999999,20,17,23.6,12,16.7
Total Cohort,10X243,WEST BRONX ACADEMY FOR THE FUTURE,2006 Aug,72,41,56.9,30,41.7,73.2,2,2.8,4.9,28,38.9,68.3,11,15.3,26.8,11,15.3,12,16.7
Total Cohort,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2005,127,73,57.5,42,33.1,57.5,14,11,19.2,28,22,38.4,31,24.4,42.5,24,18.899999999999999,28,22
Total Cohort,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2006,118,67,56.8,41,34.700000000000003,61.2,12,10.199999999999999,17.899999999999999,29,24.6,43.3,26,22,38.799999999999997,37,31.4,13,11
Total Cohort,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2006 Aug,118,73,61.9,42,35.6,57.5,12,10.199999999999999,16.399999999999999,30,25.4,41.1,31,26.3,42.5,31,26.3,13,11
Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2003,83,58,69.900000000000006,49,59,84.5,6,7.2,10.3,43,51.8,74.099999999999994,9,10.8,15.5,15,18.100000000000001,9,10.8
Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2004,79,60,75.900000000000006,47,59.5,78.3,7,8.9,11.7,40,50.6,66.7,13,16.5,21.7,14,17.7,5,6.3
Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2005,105,70,66.7,57,54.3,81.400000000000006,10,9.5,14.3,47,44.8,67.099999999999994,13,12.4,18.600000000000001,20,19,11,10.5
Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2006,99,58,58.6,50,50.5,86.2,5,5.1,8.6,45,45.5,77.599999999999994,8,8.1,13.8,17,17.2,19,19.2
Total Cohort,10X284,BRONX SCHOOL OF LAW AND FINANCE,2006 Aug,99,67,67.7,55,55.6,82.1,5,5.1,7.5,50,50.5,74.599999999999994,12,12.1,17.899999999999999,8,8.1,19,19.2
Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2001,10,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2002,43,0,0,0,0,,0,0,,0,0,,0,0,,33,76.7,10,23.3
Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2003,51,18,35.299999999999997,18,35.299999999999997,100,0,0,0,18,35.299999999999997,100,0,0,0,22,43.1,11,21.6
Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2004,36,18,50,2,5.6,11.1,0,0,0,2,5.6,11.1,16,44.4,88.9,14,38.9,4,11.1
Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2005,82,24,29.3,3,3.7,12.5,0,0,0,3,3.7,12.5,21,25.6,87.5,33,40.200000000000003,22,26.8
Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2006,113,24,21.2,21,18.600000000000001,87.5,0,0,0,21,18.600000000000001,87.5,3,2.7,12.5,62,54.9,24,21.2
Total Cohort,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2006 Aug,113,29,25.7,22,19.5,75.900000000000006,0,0,0,22,19.5,75.900000000000006,7,6.2,24.1,57,50.4,24,21.2
Total Cohort,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2004,4,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2005,90,65,72.2,62,68.900000000000006,95.4,27,30,41.5,35,38.9,53.8,3,3.3,4.6,19,21.1,3,3.3
Total Cohort,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2006,83,49,59,38,45.8,77.599999999999994,0,0,0,38,45.8,77.599999999999994,11,13.3,22.4,23,27.7,10,12
Total Cohort,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2006 Aug,83,49,59,38,45.8,77.599999999999994,0,0,0,38,45.8,77.599999999999994,11,13.3,22.4,23,27.7,10,12
Total Cohort,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2003,83,56,67.5,28,33.700000000000003,50,1,1.2,1.8,27,32.5,48.2,28,33.700000000000003,50,19,22.9,8,9.6
Total Cohort,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2004,110,65,59.1,28,25.5,43.1,3,2.7,4.6,25,22.7,38.5,37,33.6,56.9,28,25.5,16,14.5
Total Cohort,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2005,125,77,61.6,45,36,58.4,11,8.800000000000001,14.3,34,27.2,44.2,32,25.6,41.6,26,20.8,17,13.6
Total Cohort,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2006,115,72,62.6,37,32.200000000000003,51.4,5,4.3,6.9,32,27.8,44.4,35,30.4,48.6,28,24.3,14,12.2
Total Cohort,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2006 Aug,115,79,68.7,38,33,48.1,5,4.3,6.3,33,28.7,41.8,41,35.700000000000003,51.9,21,18.3,14,12.2
Total Cohort,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2005,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2006,2,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2006 Aug,2,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,2006,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,2006 Aug,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X410,WILLIAM H. TAFT HIGH SCHOOL,2001,328,67,20.399999999999999,2,0.6,3,0,0,0,2,0.6,3,65,19.8,97,56,17.100000000000001,198,60.4
Total Cohort,10X410,WILLIAM H. TAFT HIGH SCHOOL,2002,141,28,19.899999999999999,1,0.7,3.6,0,0,0,1,0.7,3.6,27,19.100000000000001,96.4,9,6.4,97,68.8
Total Cohort,10X410,WILLIAM H. TAFT HIGH SCHOOL,2003,15,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X410,WILLIAM H. TAFT HIGH SCHOOL,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X430,WALTON HIGH SCHOOL,2001,761,226,29.7,66,8.699999999999999,29.2,14,1.8,6.2,52,6.8,23,160,21,70.8,314,41.3,176,23.1
Total Cohort,10X430,WALTON HIGH SCHOOL,2002,772,223,28.9,83,10.8,37.200000000000003,6,0.8,2.7,77,10,34.5,140,18.100000000000001,62.8,353,45.7,181,23.4
Total Cohort,10X430,WALTON HIGH SCHOOL,2003,628,197,31.4,75,11.9,38.1,10,1.6,5.1,65,10.4,33,122,19.399999999999999,61.9,209,33.299999999999997,205,32.6
Total Cohort,10X430,WALTON HIGH SCHOOL,2004,324,154,47.5,28,8.6,18.2,9,2.8,5.8,19,5.9,12.3,126,38.9,81.8,59,18.2,91,28.1
Total Cohort,10X430,WALTON HIGH SCHOOL,2005,4,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2001,44,39,88.6,28,63.6,71.8,2,4.5,5.1,26,59.1,66.7,11,25,28.2,4,9.1,0,0
Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2002,129,69,53.5,42,32.6,60.9,4,3.1,5.8,38,29.5,55.1,27,20.9,39.1,46,35.700000000000003,11,8.5
Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2003,122,73,59.8,28,23,38.4,4,3.3,5.5,24,19.7,32.9,45,36.9,61.6,33,27,15,12.3
Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2004,111,64,57.7,31,27.9,48.4,6,5.4,9.4,25,22.5,39.1,33,29.7,51.6,29,26.1,17,15.3
Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2005,127,66,52,39,30.7,59.1,3,2.4,4.5,36,28.3,54.5,27,21.3,40.9,32,25.2,23,18.100000000000001
Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2006,134,88,65.7,56,41.8,63.6,1,0.7,1.1,55,41,62.5,32,23.9,36.4,14,10.4,30,22.4
Total Cohort,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2006 Aug,134,90,67.2,56,41.8,62.2,1,0.7,1.1,55,41,61.1,34,25.4,37.799999999999997,13,9.699999999999999,29,21.6
Total Cohort,10X434,BELMONT PREPARATORY HIGH SCHOOL,2001,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X434,BELMONT PREPARATORY HIGH SCHOOL,2002,86,47,54.7,23,26.7,48.9,0,0,0,23,26.7,48.9,25,29.1,53.2,25,29.1,9,10.5
Total Cohort,10X434,BELMONT PREPARATORY HIGH SCHOOL,2003,86,37,43,17,19.8,45.9,3,3.5,8.1,14,16.3,37.799999999999997,20,23.3,54.1,29,33.700000000000003,18,20.9
Total Cohort,10X434,BELMONT PREPARATORY HIGH SCHOOL,2004,88,51,58,27,30.7,52.9,8,9.1,15.7,19,21.6,37.299999999999997,24,27.3,47.1,23,26.1,14,15.9
Total Cohort,10X434,BELMONT PREPARATORY HIGH SCHOOL,2005,96,53,55.2,47,49,88.7,8,8.300000000000001,15.1,39,40.6,73.599999999999994,6,6.3,11.3,31,32.299999999999997,10,10.4
Total Cohort,10X434,BELMONT PREPARATORY HIGH SCHOOL,2006,96,61,63.5,59,61.5,96.7,3,3.1,4.9,56,58.3,91.8,2,2.1,3.3,22,22.9,11,11.5
Total Cohort,10X434,BELMONT PREPARATORY HIGH SCHOOL,2006 Aug,96,67,69.8,61,63.5,91,3,3.1,4.5,58,60.4,86.6,6,6.3,9,16,16.7,11,11.5
Total Cohort,10X435,THEODORE ROOSEVELT HIGH SCHOOL,2001,456,90,19.7,0,0,0,0,0,0,0,0,0,90,19.7,100,130,28.5,195,42.8
Total Cohort,10X435,THEODORE ROOSEVELT HIGH SCHOOL,2002,195,6,3.1,0,0,0,0,0,0,0,0,0,6,3.1,100,36,18.5,135,69.2
Total Cohort,10X435,THEODORE ROOSEVELT HIGH SCHOOL,2003,5,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X435,THEODORE ROOSEVELT HIGH SCHOOL,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2002,80,8,10,8,10,100,0,0,0,8,10,100,0,0,0,40,50,13,16.3
Total Cohort,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2003,115,45,39.1,21,18.3,46.7,0,0,0,21,18.3,46.7,24,20.9,53.3,29,25.2,33,28.7
Total Cohort,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2004,83,47,56.6,34,41,72.3,0,0,0,34,41,72.3,13,15.7,27.7,17,20.5,17,20.5
Total Cohort,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2005,89,63,70.8,33,37.1,52.4,1,1.1,1.6,32,36,50.8,30,33.700000000000003,47.6,6,6.7,10,11.2
Total Cohort,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2006,82,60,73.2,41,50,68.3,8,9.800000000000001,13.3,33,40.200000000000003,55,19,23.2,31.7,11,13.4,6,7.3
Total Cohort,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2006 Aug,82,66,80.5,43,52.4,65.2,8,9.800000000000001,12.1,35,42.7,53,23,28,34.799999999999997,5,6.1,6,7.3
Total Cohort,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2001,9,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2002,111,53,47.7,21,18.899999999999999,39.6,0,0,0,21,18.899999999999999,39.6,32,28.8,60.4,30,27,20,18
Total Cohort,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2003,173,80,46.2,37,21.4,46.3,1,0.6,1.3,36,20.8,45,43,24.9,53.8,40,23.1,47,27.2
Total Cohort,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2004,124,49,39.5,33,26.6,67.3,2,1.6,4.1,31,25,63.3,16,12.9,32.700000000000003,44,35.5,29,23.4
