dbn,school_name,borough,building_code,phone_number,fax_number,grade_span_min,grade_span_max,expgrade_span_min,expgrade_span_max,bus,subway,primary_address_line_1,city,state_code,postcode,website,total_students,campus_name,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,online_ap_courses,online_language_courses,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,partner_cbo,partner_hospital,partner_highered,partner_cultural,partner_nonprofit,partner_corporate,partner_financial,partner_other,addtl_info1,addtl_info2,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10,Location 1,Community Board,Council District,Census Tract,BIN,BBL,NTA
19K639,Brooklyn Lab School,Brooklyn,K420,718-235-3592,718-235-4028,9,12,,,"B13, Q56","J, Z to Elderts Lane-75th St",999 Jamaica Avenue,Brooklyn,NY,11208,www.brooklynlabschool.org,364,Franklin K. Lane Educational Campus,,"We are a small learning community that believes all students can learn to design their lives, build the dreams that are within them, be passionate lifelong learners and more positively affect the world around them. We are committed to designing and building meaningful, challenging classes and projects that are framed by small class size, close relationships and high expectations. Our students will be well-known throughout their time in our school and supported by our Advisory program. We believe that with the right supports, expectations and culture, all students can succeed.","iLearn, Blended Learning Model, Technology (SMART Boards, iPads, Mac Pros, Computer Labs), Presentations of Learning, Performance Tasks, Individualized Learning Goals, Single Sex College Readiness Courses, College Mentors for all students, College Now at Medgar Evers College",Spanish,"Biology, English Literature and Composition, Spanish Literature and Culture, Statistics, United States History","Biology, Calculus AB, English Literature and Composition, United States History","French, Italian","Math Club, Culinary Club, Mural Painting Club, Step Team, National Honor Society, Gay-Straight- Bisexual Alliance, Women's Fitness Group, Women's Empowerment Group, Music Club, Opening Act (Theater), Piano Club","Basketball & JV Basketball, Bowling, Softball & JV Softball, Tennis, Volleyball & JV Volleyball","Basketball & JV Basketball, Bowling, Softball & JV Softball, Tennis, Volleyball & JV Volleyball","Cross Country, Indoor Track, Outdoor Track, Swimming",,"Institute for Student Achievement, Health Corps, Cypress Hills Local Development Corp, Opening Act, Student Success Center",Long Island Jewish Medical Center,Medgar Evers College,,,Bialosky and Partners,,,"Extended Day Programs, Weekend Program offered, Student and Parent Summer Orientation, Our school requires an Academic Portfolio for graduation, Community Service Requirement",,8:22 AM,3:11 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,,"999 Jamaica Avenue
Brooklyn, NY 11208
(40.691143962, -73.868426057)",5,37,1180,3090738,3040940001,park-cemetery-etc-Brooklyn                                                 
13K430,Brooklyn Technical High School,Brooklyn,K430,718-804-6400,718-260-9245,9,12,,,"B103, B25, B38, B41, B45, B52, B54, B62, B63, B65, B69","2, 3, 4, 5 to Nevins St ; A to Hoyt & Schermerhorn ; B, Q, R to DeKalb Ave ; C to Lafayette Ave ; D, N to Atlantic Ave - Barclays Center ; G to Fulton St",29 Ft Greene Place,Brooklyn,NY,11217,www.bths.edu,5458,N/A,Specialized School,"The mission of Brooklyn Technical High School is to inspire and challenge our students to maximize their talents for the benefit of society. We educate students in pre-engineering, the technologies, the sciences and mathematics with a significant emphasis on the humanities. With an ethical foundation throughout the curricula, we prepare our students to succeed at the most competitive colleges and universities. Relying heavily on an interdisciplinary curriculum, we prepare our graduates to become academic, business and community leaders for the 21st century.","Students may receive CTE endorsement in the following areas: Civil Engineering, Architecture and General Technology, Computer Integrated Manufacturing, Media; Other programs include: Aerospace Engineering, Architecture, Bio-Medical Engineering, Biological Sciences, Chemical Engineering, College Prep, Electrical Engineering, Environmental Science, Gateway to Medicine, Industrial Design, Law & Society, Mathematics, Mechanical Engineering, Media, Social Science Research, Software Engineering, Internships, Project Lead The Way, Science Research","Chinese (Mandarin), French, Italian, Spanish","Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Comparative Government and Politics, Computer Science A, English Language and Composition, English Literature and Composition, Environmental Science, European History, French Language and Culture, Human Geography, Italian Language and Culture, Macroeconomics, Microeconomics, Physics B, Physics C: Electricity and Magnetism, Physics C: Mechanics, Psychology, Spanish Language and Culture, Statistics, Studio Art: 2-D Design, Studio Art: 3-D Design, United States Government and Politics, United States History, World History","Microeconomics, Physics B",,"Academic Decathalon, Amateur Radio, Animal Rights, Anime, Art, ASPIRA, Beta, BETA Honor Society, BTHSNEWS, Chess, Chinese Culture, Civil Air Patrol, CSI Team, Dance, Debate Team, DECA, Drama, Film, Find The Cure, Future Business Leaders of America, Gospel Choir, Habitat for Humanity, Horizons Literary Magazine, Jewish, Key Club, Korean Student Association, Lady Dragons & Organized Chaos Step Teams, Math Team, Mentoring, Mock Trial Team, Mu Alpha Theta, Mural Painting, Muslim Student Association, National Honor Society (Arista), Opera, Paleo, Progressive Student Awareness, Radish Satirical Newspaper, Robotics Team, Salsa, Save Darfur, School Newspaper, Science Bowl, Science Olympiad, Scrabble, Seekers, SING, Spring Musical, Straight & Gay Alliance, Student Government, Student Magazines, Survey School Newspaper, Tech Internet Radio Project, US FIRST (For Inspiration and Recognition of Science and Technology) Robotics, Web Design, Weight Training, World Summit, Yearbook, Young Entrepreneurs Association","Basketball & JV Basketball, Bowling, Cross Country, Double Dutch, Fencing, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling","Basketball & JV Basketball, Bowling, Cross Country, Double Dutch, Fencing, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling",Hockey,Cheerleading,"Brooklyn Tech Alumni Foundation, Ft. Greene Association, Fulton Area Business Alliance, South Elliott Block Association","Brooklyn Hospital Center, Mount Sinai Hospital","Polytechnic University, Long Island University, Hunter College, New York City College of Technology, The City College of New York, Pratt Institute, Rochester Institute of Technology, SUNY Buffalo; SUNY Stonybrook, SUNY Albany, Drexel University; Florida Institute of Technology, US Naval Academy (Annapolis)","Brooklyn Academy of Music, Manhattan Theater Club, Carnegie Hall","Brooklyn Tech Alumni Foundation, Junior Achievement, Urban Land Institute","Con Edison, National Grid, Mancini-Duffy Architects, Pennoni Associates Engineering",,, from your guidance counselor.,,8:45 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Open to New York City residents,,,,,,,,,,"29 Ft Greene Place
Brooklyn, NY 11217
(40.688107423, -73.976745072)",2,35,33,3058752,3020980013,Fort Greene                                                                
02M425,Leadership and Public Service High School,Manhattan,M894,212-346-0007,212-346-0612,9,12,,,"M103, M15, M15-SBS, M20, M22, M5, M9, S1115","1, R to Rector St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5 to Wall St ; 6 to Brooklyn Bridge - City Hall ; E to World Trade Center ; J, Z to Broad St",90 Trinity Place,New York,NY,10006,www.leadershipnyc.org,685,N/A,,"It is our belief that learning is within everyone’s grasp and is everyone’s right. Our staff exemplifies scholarship and love of learning, setting an example of excellence. We acknowledge our enormous responsibility for educating our students and work together with parents and guardians. The curriculum includes athletic, civic and social activities, and connects learning to life beyond the classroom. We believe that through the teaching and learning process we all grow and develop a deeper understanding of ourselves, others and our world.","Syracuse University Project Advance: Opportunity to earn Syracuse University credits in grades 11 and 12; College Now courses; Touro College courses in grades 11 and 12; Leadership, Art, Chorus, Theater, Dance","French, Spanish","Art History, Calculus AB, Comparative Government and Politics, English Language and Composition, English Literature and Composition, Spanish Literature and Culture, United States History, World History","Biology, Chemistry, Environmental Science, European History, Macroeconomics, Microeconomics, Physics B","Chinese, Classical Greek, Hebrew, Japanese, Latin, Russian","Art Studio, Band, Book, Chess, Chronos History, Community Service, Debate Team, Earth Day, Film, Gay/Straight Alliance, Greenclub, Internships, Kaplan SAT Preparation, Leadership Dance Team, Mentorship, Model UN, Moot Court and Mock Trial Teams, Musical Theatre, National Honor Society, Participation in lower Manhattan activities, Percussion, Poetry Club, REACH Advanced Placement Program, Runners, School Newspaper, Student Government, Yearbook","Basketball, Softball","Basketball, Softball","Bowling, Cross Country, Handball, Indoor Track",,"Trinity Church, Liberty Partnership Program, Syracuse University Mentor-Mentee Alliance (SUMMA) and Friends of Leadership",,"Syracuse University, Touro College, Pace University","All-City Youth Chorus, Theatre Development Fund (TDF), Arts Education Program - Open Doors, Operation Design, Trinity Church, Trinity Youth Chorus, Mannes College of Music",,,,Sidley Austin LLP,,Community Service Requirement,8:30 AM,2:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Open to New York City residents,,,,,,,,,,"90 Trinity Place
New York, NY 10006
(40.709146539, -74.012076627)",1,1,13,1001035,1000510015,Battery Park City-Lower Manhattan                                          
07X547,New Explorers High School,Bronx,X790,718-292-4150,718-292-5887,9,12,,,"Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6","2, 4, 5 to 149th St-Grand Concourse ; B, D to 161st St-Yankee Stadium",730 Concourse Village West,Bronx,NY,10451,www.myNEHS.info,463,Mott Haven Educational Campus,,"In our state-of-the-art building, our students realize their potential in academics and creative expression through creative projects, hands-on activities and our thriving visual art, dance, drama and music programs. We offer individual attention, guidance and tutorial assistance in the content areas and additional support for the Regents exams. We promote community involvement and activities, uniting staff, parents and the community. We offer workshops for students and parents/guardians, as well as guidance and assistance with referrals to the agencies that serve their needs.","Students major in one of our comprehensive arts programs; Students perform at least four times a year before a school-wide audience; Our Community-Based Organization (CBO), East Side House Settlement, offers attendance interventions and incentives, counseling and extra learning time; Peer leadership programs; Student council",Spanish,"English Language and Composition, Spanish Language and Culture",Biology,French,"Cheerleading, Newspaper, Service Learning, Student Government, Tutoring, Yearbook","Basketball & JV Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball & JV Volleyball","Basketball & JV Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball & JV Volleyball","Bowling, Handball, Tennis",Our athletes join with students from Mott Haven Educational Campus to compete in the Public Schools Athletic League (PSAL) program; Campus-wide Cheerleading Team,East Side House Settlement,Montefiore Medical Center (Clinic),"CUNY schools, including Hostos Community College",Theater for New Audience Theater Development Fund Playwright Program DOE Arts Liaison,,,,"Achievement Reporting and Innovation System (ARIS) and EnGrade (systems of communication for parents/guardians and students to review transcripts, attendance status and monitor academic progress)","College Support: College Advisors and College Trips, Online programs and classes in SAT Prep, Weekend Regents intensive support classes offered, After-school Classes/Workshops, Group and individualized college counseling",Weekend Program offered,8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,4,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,,"730 Concourse Village West
Bronx, NY 10451
(40.82277649, -73.923522794)",4,17,61,2103486,2024430078,East Concourse-Concourse Village                                           
02M630,Art and Design High School,Manhattan,M488,212-752-4340,212-752-4945,9,12,,,"M101, M102, M15, M2, M31, M50, M57, Q101, Q32, Q60","4, 5, 6, N, Q, R to Lexington Ave-59 St ; 6, E, M to Lexington Ave-53 St ; F to Lexington Ave-63 St",231-249 East 56 Street,New York,NY,10019,www.artanddesignhs.org,1438,Midtown East Campus,CTE School,"For over seventy years, Art and Design High School has nurtured talented students through its extensive art program to become accomplished professionals. Located in the heart of New York City’s cultural center, we are a community of scholars dedicated to fostering the creative and academic talents of each of our gifted art students. We are nationally known for our design programs in architecture, fashion design, graphic design, illustration and digital photography and video technology. Graduates from our school are leaders in the field of art and the community at large.","Students may receive CTE endorsement in the following areas: Film/Video Production, Commercial Photography, Cartooning and Animation; Program majors offered: Architectural Design, Commercial Photography, Film and Video Production, Cartooning and Animation, Fashion and Costume Design, Illustration and Graphic Design; Partnership with the School of Visual Arts (students can earn up to 4 credits in art as juniors and seniors); Partnerships with The Metropolitan Museum of Art, MoMA, Frick Museum; Studio in a School; Tribeca partnership at the school for film instruction; Internship program through Work-Based Learning (WBL); Partner school of Exploring the Arts (internships, apprenticeships and scholarships); PENCIL partner; College Now, Portfolio Development",Spanish,"Art History, Biology, Calculus AB, Chemistry, English Language and Composition, English Literature and Composition, Spanish Language and Culture, Studio Art: 2-D Design, Studio Art: Drawing, United States History, World History",,,"AIGA NYC (professional association for design) Mentoring, Animation, Film/Video, Apollo Theater Internships, Drama, Exhibitions in Kenny Art Gallery, Fashion Design, Gay/Straight Alliance, Interior Design, Literary Arts Journal, Mock Trial, Museum Hopping, National Honor Society, New York Cares/Kaplan Saturday SAT Prep, Newspaper, Old Hat Illustration, Peer Tutoring, Portfolio Development, School Student Leaders, Silk Screening, Spring Arts Festival, Teen Tutoring, Saturday Art Directors, The Art Students League of New York, Yearbook, CAE Internships, Studio in a School Internship, Portfolio Development Programs","Basketball, Softball, Volleyball","Basketball, Softball, Volleyball","Bowling, Fencing","Aerobic Training, Basketball, Intramural Sports, Nautilus Training, Spinning, Volleyball, Weight Training; student-faculty games",Friends of Art and Design,,"Articulation Agreement with with New York City College of Technology,City Tech CUNY; College Now, Hunter College; EOP program Fashion Institute of Technology; EOP Program PRATT Institute; SATURDAY PROGRAM: The Cooper Union for the Advancement of Science and Art; New York Institute of Technology,Polytechnic Institute of New York University; St. Johns University; Baruch College,CUNY","Museum of Modern Art, Cooper-Hewitt National Design Museum, American Institute of Architects (AIA), Center for Architecture Foundation, The Art Directors Club, Museum of Arts and Design, Center for Arts Education, Studio in a School, The Metropolitan Museum of Art, Frick Museum, Tribeca Film Society, International Travel Program.","American Institute of Graphic Arts (AIGA), Junior Achievement, Young Audiences New York, New York Cares","Pride, DDB, KPMG Accounting, Apple",Work in Support of Education (WISE) Economics Program,,"Students enjoy Art Studio time for an hour and a half every day throughout their four-year high school career., Chancellor’s Arts Endorsed Diploma","Extended Day Program, Our school requires an Artistic Portfolio for graduation, Summer Internship Program offered",8:30 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,3,Open to New York City residents,,,,,,,,,,"231 249 East 56 Street
New York, NY 10019
(40.765401541, -73.981768246)",6,4,108,1088892,1013300013,Turtle Bay-East Midtown                                                    
02M605,Humanities Preparatory Academy,Manhattan,M440,212-929-4433,212-929-4445,9,12,,,"M11, M14A, M14D, M20, M23, M7","1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave",351 West 18 Street,New York,NY,10011,www.humanitiesprep.org,210,Bayard Rustin Educational Campus,Consortium School,"We provide a diverse student body with a personalized education that emphasizes participatory democracy, inquiry-based learning, performance-based assessment and community service. As part of our mission and commitment to diversity, we accept transfer students who are seeking an alternative, more individualized educational setting.","Innovative courses with multi-age grouping and themes including Science and Society, Violence and Peace, the History of Math, Poetry Coffeehouse; College courses, College prep workshops, SAT prep courses, Community Action Internships, Outward Bound activities, Special initiatives of the New York Performance Standards Consortium, The New York City Writing Project, Interest-based/community action trips to cities including Montreal, New Orleans, Washington, D.C.","French, Spanish",,,,"Consensus-based decision-making, Critical Friends groups, Distributive/Democratic leadership, Faculty Hiring Committee, Fairness Committee, HealthWise, HumaniTube, Mediation, Musical Groups/Bands, NYC Outward Bound Adventure, Prep Choir, Prep Musicals, PrepCorps, Restorative Justice Models for Staff, Robotics, Sailing, Shakespeare Society, Staff Hiring Committee, Staff Inquiry Groups, Student Activities Committee, Student Government, The Great Saunter, The Great Sweep, Visual and Performing Arts Society, Yoga, Nia Dance","Basketball, Handball, Soccer, Softball, Tennis, Volleyball","Basketball, Handball, Soccer, Softball, Tennis, Volleyball","Bowling, Tennis",Table Tennis (Ping-Pong),"), The NYC Writing Project, The Lineage Foundation, Hudson River Community Sailing, HealthCorps",Mount Sinai Medical Center,"Baruch College, Eugene Lang College The New School for Liberal Arts, Hunter College, New York University","Center for Arts Education, Kitchen Performing Arts Center, Nuyorican Poets Cafe, PEN American Center","Coalition of Essential Schools, New Visions for Public Schools, New York Performance Standards Consortium, Action Center to End World Hunger",Google (FIRST Robotics Program); D.E. Shaw,,,"As a consortium school, our school requires Performance-based Assessments for graduation; These are in lieu of Regents examinations, except for the English Language Arts (ELA) Regents which is required of all students",,9:00 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Manhattan students or residents,Then to New York City residents,,,,,,,,,"351 West 18 Street
New York, NY 10011
(40.742888101, -74.002127381)",4,3,89,1013096,1007420007,Hudson Yards-Chelsea-Flatiron-Union Square                                 
18K633,High School for Medical Professions,Brooklyn,K500,718-290-8700,718-290-8705,9,12,,,"B103, B17, B42, B6, B60, B82",L to Canarsie - Rockaway Pkwy,1600 Rockaway Parkway,Brooklyn,NY,11236,www.hsmp.us,441,Canarsie Educational Campus,,"Possibilities are endless for our students. Through individualized attention, students will have the opportunity to make lifelong friends, participate in after-school activities, pursue their dreams and reach their leadership potential. Our vision is to provide all students of various abilities access to our community for internships, field trips and hands-on learning experiences while exploring interests in health professions.","Health Careers Explorations, after-school programs",Spanish,"Biology, Calculus AB, Psychology",,,"Chess, College Planning and Access, Community Service, Dance, Debate, Drama, Homework Help, Peer Mentoring, Peer Tutoring, Regents Preparation, Tutoring, Youth Leadership","Basketball, Cross Country, Outdoor Track, Rugby, Soccer, Softball, Tennis, Volleyball, Wrestling","Basketball, Cross Country, Outdoor Track, Rugby, Soccer, Softball, Tennis, Volleyball, Wrestling",,,"Federation of Italian-American Organizations, Global Kids, Urban Arts Partnerships, Pencil.org.","Brookdale Medical Center, Maimonides Medical Center, Kingsbrook Jewish Medical Center, Wyckoff Medical Center, Kings County Medical Center, Lutheran Medical Center, (SUNY) Downstate Medical Center, Brooklyn Hospital,New York-Presbyterian Hospital,Four Seasons nursing home, Augustana Lutheran Nursing, Brooklyn United nursing, Crown Nursing, St. Joachim & Ann nursing and Sunrise Nursing and Rehabilitation Center, Beth Israel Medical Center, CNR Nursing, Coney Island Medical Center, Infant and Child Learning Center, Jamaica Medical Center, Bellevue Medical Center, Long Island College Hospital (LICH), Boro Park Nursing, Ruby Western, Sephardic and Shoreview Nursing, VA Hospitals",Brooklyn College,Urban Arts Partnerships,Pencil.org,CVS/pharmacy,,,"Uniform Required: white polo with High School for Medical Professions (HSMP) logo, khaki or navy pants/skirt, navy blue sweater, solid black or white sneakers/shoes/boots. In winter months, long-sleeved solid shirt may be worn under the school polo. Uniforms are sold at Ideal Uniform, Our school requires an Academic Portfolio for graduation, Internship Requirement, Community Service Requirement, Extended Day Programs offered, Weekend Program offered, Student and Parent Orientation offered",,8:00 AM,3:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,,"1600 Rockaway Parkway
Brooklyn, NY 11236
(40.641844268, -73.898687291)",18,46,990,3230949,3082220001,Canarsie                                                                   
08X559,School for Tourism and Hospitality,Bronx,X650,718-401-4214,718-401-4219,9,12,,,"Bx13, Bx15, Bx17, Bx19, Bx21, Bx4, Bx46, Bx4A, Bx6","2, 5 to Prospect Ave ; 6 to Longwood Ave",900 Tinton Avenue,Bronx,NY,10456,www.sthnewyork.com,161,Jane Addams Educational Campus,CTE School,"If you think the tourism and hospitality industry is all about cleaning rooms, checking in guests, making flight reservations, and preparing meals you may be surprised to find out how many choices there really are. Each hotel, resort or restaurant functions as its own little city, with jobs ranging from van driver to accountant, and from security officer to retail manager. Students with an interest in leadership find a wealth of opportunities in the industry! Our graduates are prepared for careers in management. Our classes are engaging and exciting – just like NYC and the industry – around which our hands-on approach to learning is centered.","Advisory, College & Career Counseling, Specialized Tutoring, Job Shadowing/Internship Experiences, Technology-Driven Instruction/Blended Learning. As the school expands, we plan to offer Mandarin Chinese and French. As the school expands, we plan to offer AP English.",Spanish,,,,"Art, Chorus, Drama, National Honor Society, Principal's Advisory Council, Student Government, Web Design",,,,"Baseball, Basketball, Softball, Volleyball",,,,,,,,,"Dress Code Required: dress shirt and tie, dress slacks, blazer, dark-colored shoes, Extended Day (for targeted students who need extra help), Summer Orientation/Retreat in mid-August, Parent Orientation in August",,8:30 AM,2:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,,"900 Tinton Avenue
Bronx, NY 10456
(40.821887341, -73.903438055)",3,17,133,2004807,2026680001,Morrisania-Melrose                                                         
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",Brooklyn,K805,718-243-9413,718-243-1016,9,12,,,"B103, B25, B26, B38, B41, B54, B57, B61, B62, B65, B67, B69","2, 3, 4, 5 to Borough Hall ; A, C to High St ; B, Q to DeKalb Ave ; F to York St ; M, R to Jay St-MetroTech",49 Flatbush Avenue Extension,Brooklyn,NY,11201,http://www.scienceskillshs.org,537,Water's Edge Educational Campus,,"Science Skills Center High School is a small learning community designed to empower students with the knowledge of science, engineering, mathematics and humanities through the use of technology. There is a strong emphasis on academic excellence, college experiences, community service and career planning before graduation. Our dedicated and dynamic staff are eager to prepare students for college and career.","Digital Media, Networking, Web Design, Introduction to Computers, Journalism, Year Book Class, Introduction to Video Production, Science Research, Forensic Science, Robotics, Anatomy & Physiology, College Now, Law, Organic Chemistry, Psychology, Drama, Science Technology Entry Program (STEP)- Introduction to College Mathematics, Science & Society and Multimedia Journalism, Digital Electronics, Introduction to Engineering, Principles of Engineering, Civil Engineering & Architecture, Pre-Calculus, Statistics","French, Spanish","Biology, Calculus AB, Computer Science A, English Language and Composition, English Literature and Composition, Environmental Science, Music Theory, Psychology, United States History","Biology, Environmental Science",,"Science Research, Construction and Engineering, Chess, Drama, Drumline, For Inspiration and Recognition of Science and Technology (FIRST) Robotics, Architecture, Jow-Ile-Bailar Dance Company, Choral Music, Manhattan Theater, National Society of Black Engineers, Peer Mediation, Pre-Nursing, Science, Step Team, Student Government, Technology, Theater Development Fund Program, Technology, Math, Creative Writing, National Honors Society, Yearbook, My Sister's Keeper (Young Women's Empowerment Group)","Cross Country, Indoor Track","Cross Country, Indoor Track",,Cheerleading Club,Liberty Partnership Program,,"Long Island University, New York City College of Technology, New York University, Polytechnic University, Medgar Evers College, Columbia University, John Jay College","The Manhattan Theatre Club, The Leadership Program, The Women's Project, The Joyce Dance Program",Working in Support of Education (WISE) Financial Literacy Certification Program,Con Edison,,Brooklyn Community Access Television,Dress Code: Uniform Required,"Community Service Requirement, Student Summer Orientation, Weekend Program offered",8:07 AM,3:40 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,3,Open to New York City residents,,,,,,,,,,"49 Flatbush Avenue Extension
Brooklyn, NY 11201
(40.697174727, -73.984959689)",2,33,15,3000216,3001200020,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
02M600,The High School of Fashion Industries,Manhattan,M600,212-255-1235,212-255-4756,9,12,,,"M11, M14D, M20, M23, M34A-SBS, M34-SBS, M4, M5, M7","1, C, E, F, M to 23rd St ; 2, 3 to 34th St - Penn Station ; A, L to 14th St-8th Ave ; B, D, Q to 34th St-Herald Square ; N, R to 28th St",225 West 24 Street,New York,NY,10011,www.fashionhighschool.net,1732,N/A,CTE School,"We’ve offered generations of students academics coupled with a dynamic Career and Technical Education program focusing on Business, Fashion Design and Art. Our location in the heart of Chelsea affords students easy access to the city’s best art and cultural offerings as well as multiple internship opportunities. Our nationally recognized school has been highlighted in ‘US News and World Reports,’ ‘The New York Times,’ ‘Seventeen Magazine,’ PIX11 Morning News and Fox Good Day New York.","Students may receive CTE endorsement in the following areas: Fashion Design, Fashion Marketing, Graphic Design, Visual Merchandising; Full service School-Based Health Center providing physical exams, immunizations, sick visits, hearing/vision screenings, asthma/diabetes care, dental services, nutrition counseling, health education, social work and insurance enrollment; full-time College and Career Advisor; 4-year Math sequence ending in Calculus; Science (Living Environment, Earth Science, Chemistry); 16-Credit Career & Technical Education course sequence in Fashion Design, Business and Art; College Now with The City College of New York and Hunter College; Partnership with International Center of Photography; Internship program with leading fashion companies; Daily Homework Help-Writing Center; Additional 9th Grade Common Core Math class; Fashion Dollar Incentive Program; Science Lab (state-of-the-art); Regents Prep; Computers or SMART Boards in every classroom; Computer Labs (Mac Apple and PCs); Charles Nolan Reading Room",Spanish,"Biology, Calculus AB, English Literature and Composition, Spanish Language and Culture, United States History",,,"National Honor Society, Fashion Cares Community Service Organization, 'The Hanger' Literary Magazine, 'The Image' School Newspaper, iMag Fashion Magazine; Accessories, Adopt-a-Student Mentorship, Anime, Cosmetology, Distributive Education Club of America (DECA), Drama, Fashion Institute of Technology Illustration, Fashion With A Purpose, Film Society, Library Chit Chat, Peer Leadership Advisories, Photography, Portfolio, Restorative Circles, Rif Raf Book Club, School Leadership Team, SkillsUSA, Student Government, Tailoring, Tutoring, Work-based Learning Programs, Lincoln-Douglas Debate Team, Knitting, Styling, Charles Nolan Fashion Club, Fashion Forecasting, Korean Pop Culture, Animal Wellness","Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball, Wrestling","Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball, Wrestling",,"Competitive Cheerleading Team, Hip-Hop Reggae Dance Team, Step Team",School Based Health Center: Institute for Family Health,,"Hunter College, City College, Fashion Institute of Technology (FIT), Monroe College, LIM College","ArtsConnection, International Center of Photography, Roundabout Theater, Lincoln Center Stages, National Arts Club, Manhattan Theater Company, Atlantic Theater Company, Handweavers Guild, Manhattan Graphics Center","Council of Fashion Designers of America, Black Retail Action Group, Underfashion Club, Young Menswear Association, National Association of Mens Sportswear Buyers","The Advisory Board of the High School of Fashion Industries (business leaders representing Saks Fifth Avenue, Anne Klein, Ellen Tracy, International Management Group, Bloomingdale's, Fox News Channel); Macy's; Kleinfeld Bridal; Keds; Mandees; Vanilla Star Jeans; Allegri; Li & Fung; Geneva Watch Group; The Promotion Factory",,The Planning and Visual Education Partnership (PAVE),Chancellor’s Arts Endorsed Diploma,Extended Day Program,8:00 AM,3:45 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Open to New York City residents,,,,,,,,,,"225 West 24 Street
New York, NY 10011
(40.745111571, -73.99590642)",4,3,91,1014174,1007740019,Hudson Yards-Chelsea-Flatiron-Union Square                                 
